ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost,rank,held
BC8.DE,2026-09-03,36.92,34.55,34.28,True,True,36.94,0.05,6.43,ARMED,35.86,2.92,35.86,,False,51.0,1884.0,84.0,False
APH,2026-09-03,82.07,79.46,71.95,True,True,82.16,0.11,3.17,ARMED,,,82.35,1h bearish,False,,,34.0,False
B,2026-09-03,45.76,41.86,39.49,True,True,45.81,0.11,8.52,ARMED,44.41,3.07,44.41,,False,39.0,1787.0,28.0,False
SPY,2026-09-03,773.17,757.24,715.46,True,True,774.03,0.11,2.06,ARMED,768.48,0.72,768.48,,False,3.0,2322.0,10.0,False
HOOD,2026-09-03,124.72,99.98,94.36,True,True,124.88,0.13,19.84,ARMED,115.55,7.47,115.55,,False,5.0,624.0,81.0,False
SZG.DE,2026-09-03,57.3,53.57,47.41,True,True,57.56,0.45,6.51,ARMED,54.89,4.63,54.89,,False,20.0,1151.0,83.0,False
PTGX,2026-09-03,148.8,139.33,109.49,True,True,149.49,0.46,6.37,ARMED,144.67,3.22,144.67,,False,11.0,1644.0,45.0,False
KO,2026-09-03,88.81,86.29,79.6,True,True,89.23,0.47,2.84,ARMED,88.0,1.38,88.0,,False,31.0,2766.0,37.0,False
DBX,2026-09-03,35.7,32.36,28.82,True,True,35.95,0.7,9.37,ARMED,34.61,3.74,34.61,,False,41.0,1474.0,42.0,False
VRSN,2026-09-03,293.35,282.44,268.52,True,True,295.39,0.7,3.72,ARMED,286.04,3.17,286.04,,False,5.0,1477.0,31.0,False
HPE,2026-09-03,54.44,50.08,37.18,True,True,54.88,0.81,8.0,ARMED,48.52,11.6,48.52,,False,8.0,439.0,4.0,False
V,2026-09-03,378.75,361.7,340.75,True,True,382.21,0.91,4.5,ARMED,373.98,2.15,373.98,,False,6.0,2293.0,78.0,False
SMCI,2026-09-03,37.87,33.73,33.74,True,True,38.22,0.92,10.89,ARMED,,,38.13,stop too tight,False,,,59.0,False
IOS.DE,2026-09-03,34.22,31.87,29.49,True,True,34.56,0.99,6.88,ARMED,,,34.56,1h bearish,False,,,14.0,False
MSFT,2026-09-03,510.12,458.98,437.9,True,True,515.65,1.08,10.03,ARMED,501.02,2.84,501.02,,False,3.0,1547.0,58.0,False
NTNX,2026-09-03,68.08,60.75,54.51,True,True,68.92,1.23,10.77,ARMED,66.37,3.71,66.37,,False,21.0,1447.0,18.0,False
CRM,2026-09-03,264.43,201.35,202.63,True,True,268.27,1.45,23.37,ARMED,258.18,3.76,258.18,,False,5.0,1341.0,96.0,False
FTNT,2026-09-03,156.36,154.4,122.43,True,True,158.69,1.49,1.26,ARMED,,,159.26,1h bearish,False,,,6.0,False
GFT.DE,2026-09-03,26.4,22.81,20.79,True,True,26.8,1.52,13.61,ARMED,25.08,6.42,25.08,,False,32.0,858.0,20.0,False
ABBV,2026-09-03,260.21,250.72,230.49,True,True,264.25,1.55,3.65,ARMED,256.71,2.85,256.71,,False,7.0,1850.0,29.0,False
EXLS,2026-09-03,37.32,33.62,33.77,True,True,37.97,1.74,9.51,ARMED,37.65,0.85,37.65,,False,74.0,2810.0,40.0,False
PLTR,2026-09-03,182.53,157.63,147.8,True,True,185.83,1.81,13.64,ARMED,176.09,5.24,176.09,,False,5.0,929.0,94.0,False
DLTR,2026-09-03,131.04,125.72,115.21,True,True,133.64,1.98,4.06,ARMED,129.71,2.94,129.71,,False,14.0,1871.0,39.0,False
MLB1.DE,2026-09-03,1742.6,1610.97,1625.84,True,True,1777.4,2.0,6.7,ARMED,1698.69,4.43,1698.69,risk budget < 1 share,False,,,55.0,False
RDNT,2026-09-03,74.62,69.46,65.39,True,True,76.27,2.21,6.92,ARMED,75.9,0.48,75.9,,False,36.0,2746.0,50.0,False
CRSP,2026-09-03,56.49,54.37,53.37,True,True,57.8,2.32,3.75,ARMED,,,58.52,1h bearish,False,,,38.0,False
