ticker,direction,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,signal_strength
AMD,long,2018-12-03,23.71,2018-12-19,18.16,-23.41,ST flip,0
AMD,long,2019-01-25,21.93,2019-03-07,22.08,0.68,ST flip,0
AMD,long,2019-03-19,26.0,2019-06-17,29.2,12.31,ST flip,0
AMD,long,2019-07-09,33.15,2019-07-31,30.45,-8.14,ST flip,0
AMD,long,2019-08-08,33.92,2019-09-27,28.72,-15.33,ST flip,0
AMD,long,2019-10-21,32.03,2020-01-29,47.51,48.33,ST flip,0
AMD,long,2020-02-11,53.8,2020-02-24,49.12,-8.7,ST flip,0
AMD,long,2020-04-14,54.93,2020-06-26,50.1,-8.79,ST flip,0
AMD,long,2020-07-09,57.26,2020-09-08,78.69,37.43,ST flip,0
AMD,long,2020-11-06,85.88,2021-01-28,87.52,1.91,ST flip,0
AMD,long,2021-04-26,85.41,2021-05-10,75.99,-11.03,ST flip,0
AMD,long,2021-06-17,84.56,2021-07-16,85.89,1.57,ST flip,0
AMD,long,2021-07-28,97.93,2021-09-20,101.55,3.7,ST flip,0
AMD,long,2021-10-14,111.99,2021-12-09,138.1,23.31,ST flip,0
AMD,long,2022-02-08,128.23,2022-03-04,108.41,-15.46,ST flip,0
AMD,long,2023-05-08,95.04,2023-06-22,110.7,16.48,ST flip,0
AMD,long,2023-10-10,109.01,2023-10-25,96.06,-11.88,ST flip,0
AMD,long,2023-11-01,108.04,2024-01-03,135.32,25.25,ST flip,0
AMD,long,2024-01-16,158.74,2024-03-14,187.06,17.84,ST flip,0
AMD,long,2024-05-20,166.33,2024-07-17,159.43,-4.15,ST flip,0
AMD,long,2025-10-02,169.73,2025-11-19,223.55,31.71,ST flip,0
AMD,long,2026-01-16,231.83,2026-02-04,200.19,-13.65,ST flip,0
AMD,long,2026-04-08,231.82,2026-06-10,452.4,95.15,ST flip,0
AMD,long,2026-06-30,580.91,2026-07-28,454.62,-21.74,ST flip,0
ASML.AS,long,2018-01-05,139.6811,2018-02-06,139.957,0.2,ST flip,0
ASML.AS,long,2018-02-26,148.5577,2018-03-23,150.3974,1.24,ST flip,0
ASML.AS,long,2018-05-16,158.6788,2018-06-25,156.2662,-1.52,ST flip,0
ASML.AS,long,2018-07-18,172.6444,2018-08-15,161.4997,-6.46,ST flip,0
ASML.AS,long,2019-06-27,168.6628,2019-08-05,179.1185,6.2,ST flip,0
ASML.AS,long,2019-09-05,201.8885,2020-01-27,244.2557,20.99,ST flip,0
ASML.AS,long,2020-02-05,260.5175,2020-02-24,255.144,-2.06,ST flip,0
ASML.AS,long,2020-03-26,234.7344,2020-07-24,305.6005,30.19,ST flip,0
ASML.AS,long,2020-10-12,318.2491,2020-10-23,299.9633,-5.75,ST flip,0
ASML.AS,long,2020-11-05,318.8596,2021-02-26,442.599,38.81,ST flip,0
ASML.AS,long,2021-03-24,468.1364,2021-05-12,480.4501,2.63,ST flip,0
ASML.AS,long,2021-06-09,536.4406,2021-09-28,634.4955,18.28,ST flip,0
ASML.AS,long,2021-10-22,658.6277,2021-11-23,675.2524,2.52,ST flip,0
ASML.AS,long,2023-01-09,567.8802,2023-03-01,557.4574,-1.84,ST flip,0
ASML.AS,long,2023-03-23,598.8834,2023-04-19,549.9872,-8.16,ST flip,0
ASML.AS,long,2023-05-10,583.4592,2023-07-11,618.0036,5.92,ST flip,0
ASML.AS,long,2023-07-14,666.4631,2023-07-20,603.4075,-9.46,ST flip,0
ASML.AS,long,2024-01-19,671.0347,2024-03-15,840.11,25.2,ST flip,0
ASML.AS,long,2024-05-28,879.4705,2024-07-17,854.8337,-2.8,ST flip,0
ASML.AS,long,2025-09-08,672.205,2025-10-10,808.6132,20.29,ST flip,0
ASML.AS,long,2025-10-29,915.0401,2025-11-21,830.045,-9.29,ST flip,0
ASML.AS,long,2025-12-02,934.6466,2025-12-17,869.8553,-6.93,ST flip,0
ASML.AS,long,2026-01-02,981.6228,2026-03-03,1157.8424,17.95,ST flip,0
ASML.AS,long,2026-04-10,1265.6738,2026-07-27,1429.8,12.97,ST flip,0
