ticker,direction,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,signal_strength
AMD,long,2019-01-30,23.09,2019-08-01,29.86,29.32,ST flip,0
AMD,long,2019-08-08,33.92,2020-02-24,49.12,44.81,ST flip,0
AMD,long,2020-04-16,56.95,2020-09-11,76.34,34.05,ST flip,0
AMD,long,2020-11-30,92.66,2021-02-23,84.74,-8.55,ST flip,0
AMD,long,2021-06-24,86.1,2022-01-19,128.27,48.98,ST flip,0
AMD,long,2022-02-09,132.85,2022-04-08,101.0,-23.97,ST flip,0
AMD,long,2023-05-16,101.48,2023-08-17,104.44,2.92,ST flip,0
AMD,long,2023-11-03,112.25,2024-03-26,177.87,58.46,ST flip,0
AMD,long,2024-07-08,178.69,2024-07-19,151.58,-15.17,ST flip,0
AMD,long,2024-09-25,162.02,2024-10-30,148.6,-8.28,ST flip,0
AMD,long,2025-10-06,203.71,2025-11-20,206.02,1.13,ST flip,0
AMD,long,2026-01-21,249.8,2026-02-04,200.19,-19.86,ST flip,0
AMD,long,2026-04-08,231.82,OPEN,,,,0
ASML.AS,long,2018-01-17,148.3278,2018-02-06,139.957,-5.64,ST flip,0
ASML.AS,long,2018-03-07,152.3752,2018-03-28,146.3041,-3.98,ST flip,0
ASML.AS,long,2018-06-05,165.4528,2018-06-25,156.2662,-5.55,ST flip,0
ASML.AS,long,2018-07-18,172.6444,2018-08-17,159.3099,-7.72,ST flip,0
ASML.AS,long,2019-06-28,172.4546,2019-08-05,179.1185,3.86,ST flip,0
ASML.AS,long,2019-09-05,201.8885,2020-01-31,239.6836,18.72,ST flip,0
ASML.AS,long,2020-02-11,271.9243,2020-02-25,251.0903,-7.66,ST flip,0
ASML.AS,long,2020-04-16,252.2216,2020-07-29,292.573,16.0,ST flip,0
ASML.AS,long,2020-10-13,326.1603,2020-10-26,293.0468,-10.15,ST flip,0
ASML.AS,long,2020-11-06,322.6641,2021-03-04,414.3035,28.4,ST flip,0
ASML.AS,long,2021-03-26,491.6288,2021-09-28,634.4955,29.06,ST flip,0
ASML.AS,long,2021-11-04,693.3268,2021-11-26,655.648,-5.43,ST flip,0
ASML.AS,long,2023-01-09,567.8802,2023-04-26,539.9944,-4.91,ST flip,0
ASML.AS,long,2023-05-18,623.3555,2023-07-20,603.4075,-3.2,ST flip,0
ASML.AS,long,2024-06-05,926.1924,2024-07-17,854.8337,-7.7,ST flip,0
ASML.AS,long,2025-09-08,672.205,2026-03-30,1108.212,64.86,ST flip,0
ASML.AS,long,2026-05-08,1317.813,2026-07-27,1429.8,8.5,ST flip,0
BWXT,long,2018-03-21,59.8897,2018-06-15,59.2689,-1.04,ST flip,0
BWXT,long,2018-08-03,60.5197,2018-08-10,56.6041,-6.47,ST flip,0
BWXT,long,2019-06-18,46.6126,2019-08-02,46.282,-0.71,ST flip,0
BWXT,long,2019-08-06,51.2867,2019-10-02,50.8636,-0.83,ST flip,0
BWXT,long,2019-11-05,55.5244,2020-02-25,56.1236,1.08,ST flip,0
BWXT,long,2020-05-08,54.3145,2020-07-07,50.4398,-7.13,ST flip,0
BWXT,long,2020-08-04,54.7478,2021-01-27,51.4105,-6.1,ST flip,0
BWXT,long,2021-03-02,56.618,2021-05-12,59.505,5.1,ST flip,0
BWXT,long,2022-06-09,51.8852,2022-09-02,49.4887,-4.62,ST flip,0
BWXT,long,2022-10-24,53.6272,2023-01-18,54.369,1.38,ST flip,0
BWXT,long,2023-01-25,58.4457,2023-05-25,60.7895,4.01,ST flip,0
BWXT,long,2023-06-12,64.8856,2024-04-11,94.1605,45.12,ST flip,0
BWXT,long,2024-06-26,93.9386,2024-08-02,92.8564,-1.15,ST flip,0
BWXT,long,2024-08-30,101.5748,2024-12-18,112.3602,10.62,ST flip,0
BWXT,long,2025-01-21,125.1652,2025-01-27,110.1272,-12.01,ST flip,0
BWXT,long,2026-01-06,194.4635,2026-05-19,197.0194,1.31,ST flip,0
DELL,long,2018-05-18,20.0918,2018-10-10,23.5743,17.33,ST flip,0
DELL,long,2018-11-07,24.9484,2018-12-24,20.5227,-17.74,ST flip,0
DELL,long,2019-02-04,23.4032,2019-05-31,27.4181,17.16,ST flip,0
DELL,long,2020-11-16,31.0094,2021-07-13,43.1691,39.21,ST flip,0
DELL,long,2021-08-24,46.3829,2021-09-08,43.6894,-5.81,ST flip,0
DELL,long,2021-09-23,47.2807,2022-01-26,50.2715,6.33,ST flip,0
DELL,long,2022-02-09,55.2042,2022-02-25,46.7469,-15.32,ST flip,0
DELL,long,2023-02-13,40.7232,2023-03-07,35.6562,-12.44,ST flip,0
DELL,long,2023-04-10,38.8747,2023-12-04,66.4369,70.9,ST flip,0
DELL,long,2023-12-26,73.7975,2024-06-03,127.5984,72.9,ST flip,0
DELL,long,2024-09-19,114.2118,2024-11-27,121.0507,5.99,ST flip,0
DELL,long,2025-09-30,139.9862,2025-11-11,137.5022,-1.77,ST flip,0
DELL,long,2026-02-27,147.3797,OPEN,,,,0
GE,long,2019-04-30,49.0221,2019-08-05,46.6086,-4.92,ST flip,0
GE,long,2019-09-11,45.1611,2019-10-08,39.9934,-11.44,ST flip,0
GE,long,2019-10-30,48.8325,2020-02-25,54.7265,12.07,ST flip,0
GE,long,2021-11-05,66.1969,2021-11-18,61.2841,-7.42,ST flip,0
GE,long,2023-01-04,55.0276,2023-10-19,84.035,52.71,ST flip,0
GE,long,2023-11-14,92.1281,2024-10-22,174.9002,89.84,ST flip,0
GE,long,2025-01-15,178.7848,2025-03-10,190.8705,6.76,ST flip,0
GE,long,2025-05-01,202.2858,2026-01-22,294.2042,45.44,ST flip,0
