ticker,direction,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,signal_strength
AMD,long,2018-02-27,12.53,2018-03-12,11.52,-8.06,ST flip,0
AMD,long,2018-07-09,16.61,2018-10-02,29.02,74.71,ST flip,0
AMD,long,2018-11-07,21.84,2018-12-07,19.46,-10.9,ST flip,0
AMD,long,2019-01-07,20.57,2019-03-06,22.41,8.95,ST flip,0
AMD,long,2019-03-12,23.49,2019-05-07,26.66,13.5,ST flip,0
AMD,long,2019-05-28,29.05,2019-06-14,30.36,4.51,ST flip,0
AMD,long,2019-07-08,32.04,2019-07-31,30.45,-4.96,ST flip,0
AMD,long,2019-08-08,33.92,2019-08-14,30.24,-10.85,ST flip,0
AMD,long,2019-10-14,30.53,2020-01-29,47.51,55.62,ST flip,0
AMD,long,2020-02-10,52.26,2020-02-21,53.28,1.95,ST flip,0
AMD,long,2020-03-04,50.11,2020-03-09,43.27,-13.65,ST flip,0
AMD,long,2020-03-30,47.86,2020-05-01,49.88,4.22,ST flip,0
AMD,long,2020-05-20,56.39,2020-06-11,52.83,-6.31,ST flip,0
AMD,long,2020-07-09,57.26,2020-08-11,76.88,34.26,ST flip,0
AMD,long,2020-08-31,90.82,2020-09-03,82.54,-9.12,ST flip,0
AMD,long,2020-10-01,84.86,2020-10-21,79.2,-6.67,ST flip,0
AMD,long,2020-11-04,81.35,2020-11-10,77.99,-4.13,ST flip,0
AMD,long,2020-11-27,87.19,2020-12-29,90.62,3.93,ST flip,0
AMD,long,2021-01-11,97.25,2021-01-15,88.21,-9.3,ST flip,0
AMD,long,2021-02-12,93.77,2021-02-22,85.37,-8.96,ST flip,0
AMD,long,2021-04-05,81.43,2021-05-03,78.55,-3.54,ST flip,0
AMD,long,2021-07-22,91.21,2021-08-09,107.58,17.95,ST flip,0
AMD,long,2021-09-27,108.16,2021-12-03,144.01,33.15,ST flip,0
AMD,long,2021-12-27,154.36,2022-01-05,136.15,-11.8,ST flip,0
AMD,long,2022-02-02,122.76,2022-02-11,113.18,-7.8,ST flip,0
AMD,long,2022-03-24,120.53,2022-03-31,109.34,-9.28,ST flip,0
AMD,long,2023-03-08,85.37,2023-04-17,89.87,5.27,ST flip,0
AMD,long,2023-05-08,95.04,2023-06-21,112.11,17.96,ST flip,0
AMD,long,2023-10-04,104.07,2023-10-20,101.81,-2.17,ST flip,0
AMD,long,2023-11-01,108.04,2023-12-06,116.82,8.13,ST flip,0
AMD,long,2023-12-07,128.37,2024-01-02,138.58,7.95,ST flip,0
AMD,long,2024-01-08,146.18,2024-02-20,165.69,13.35,ST flip,0
AMD,long,2024-02-22,181.86,2024-03-13,194.79,7.11,ST flip,0
AMD,long,2024-05-15,159.67,2024-06-18,154.63,-3.16,ST flip,0
AMD,long,2024-07-05,171.9,2024-07-17,159.43,-7.25,ST flip,0
AMD,long,2024-10-29,166.25,2024-10-30,148.6,-10.62,ST flip,0
AMD,long,2025-08-13,184.42,2025-08-20,165.2,-10.42,ST flip,0
AMD,long,2025-10-01,164.01,2025-11-06,237.7,44.93,ST flip,0
AMD,long,2025-11-12,258.89,2025-11-19,223.55,-13.65,ST flip,0
AMD,long,2026-01-02,223.47,2026-01-07,210.02,-6.02,ST flip,0
AMD,long,2026-01-14,223.6,2026-01-30,236.73,5.87,ST flip,0
AMD,long,2026-03-25,220.27,2026-03-30,196.04,-11.0,ST flip,0
AMD,long,2026-04-06,220.18,2026-06-05,466.38,111.82,ST flip,0
AMD,long,2026-06-15,547.26,2026-07-28,454.62,-16.93,ST flip,0
AMD,long,2026-08-04,518.58,OPEN,,,,0
ASML.AS,long,2018-01-04,137.8414,2018-01-11,136.3236,-1.1,ST flip,0
ASML.AS,long,2018-01-17,148.3278,2018-02-02,145.4762,-1.92,ST flip,0
ASML.AS,long,2018-02-20,146.488,2018-03-02,141.9807,-3.08,ST flip,0
ASML.AS,long,2018-03-06,149.3396,2018-03-23,150.3974,0.71,ST flip,0
ASML.AS,long,2018-04-17,156.1465,2018-04-20,145.3842,-6.89,ST flip,0
ASML.AS,long,2018-05-10,155.2454,2018-06-19,164.0145,5.65,ST flip,0
ASML.AS,long,2018-07-18,172.6444,2018-08-15,161.4997,-6.46,ST flip,0
ASML.AS,long,2019-03-15,157.4724,2019-05-09,163.3692,3.74,ST flip,0
ASML.AS,long,2019-05-17,171.5911,2019-05-20,160.7975,-6.29,ST flip,0
ASML.AS,long,2019-06-11,166.4853,2019-08-02,185.4258,11.38,ST flip,0
ASML.AS,long,2019-08-30,189.8278,2019-10-02,205.502,8.26,ST flip,0
ASML.AS,long,2019-10-10,216.3896,2019-10-17,214.9347,-0.67,ST flip,0
ASML.AS,long,2019-10-28,225.9631,2019-12-02,224.9773,-0.44,ST flip,0
ASML.AS,long,2019-12-06,238.1282,2020-01-27,244.2557,2.57,ST flip,0
ASML.AS,long,2020-02-05,260.5175,2020-02-24,255.144,-2.06,ST flip,0
ASML.AS,long,2020-03-24,226.25,2020-07-15,313.3223,38.48,ST flip,0
ASML.AS,long,2020-09-02,315.6435,2020-09-04,288.7833,-8.51,ST flip,0
ASML.AS,long,2020-10-01,304.511,2020-10-21,307.4481,0.96,ST flip,0
ASML.AS,long,2020-11-04,306.8756,2021-01-27,419.1066,36.57,ST flip,0
ASML.AS,long,2021-02-08,444.2634,2021-02-23,449.7798,1.24,ST flip,0
ASML.AS,long,2021-03-22,454.6305,2021-05-04,490.2746,7.84,ST flip,0
ASML.AS,long,2021-05-25,522.0376,2021-07-19,550.6528,5.48,ST flip,0
ASML.AS,long,2021-07-22,592.1447,2021-09-20,684.3813,15.58,ST flip,0
ASML.AS,long,2021-09-23,719.0059,2021-09-27,683.8091,-4.9,ST flip,0
ASML.AS,long,2021-10-15,645.0831,2021-11-23,675.2524,4.68,ST flip,0
ASML.AS,long,2021-12-27,681.9466,2022-01-05,641.5903,-5.92,ST flip,0
