ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MRNA,SPY,LONG,133.32,48.1256,102.007,up,181.62,100.0,0
U,SPY,LONG,46.54,31.8295,40.9765,up,71.99,99.0,5
CERT,SPY,LONG,8.73,7.2956,7.5251,up,65.7,98.0,6
TOST,SPY,LONG,35.32,30.2061,31.5838,up,49.6,97.0,2
PTGX,SPY,LONG,150.69,102.3435,142.4654,up,48.86,96.0,0
WIX,SPY,LONG,82.39,77.9261,64.8195,up,47.04,95.0,5
ASAN,SPY,LONG,9.5,8.9957,7.7302,up,42.52,95.0,1
DELL,SPY,LONG,434.78,234.9651,397.6039,up,40.89,94.0,0
NTNX,SPY,LONG,66.33,48.9017,60.6622,up,40.63,93.0,3
RDNT,SPY,LONG,77.05,66.1903,67.4438,up,40.51,92.0,2
HPE,SPY,LONG,52.89,31.4739,51.5695,up,37.51,91.0,0
DLTR,SPY,LONG,128.45,115.6271,122.5511,up,35.22,90.0,0
ANGO,SPY,LONG,15.82,12.0308,14.4567,up,32.21,89.0,1
HIMS,SPY,SHORT,31.86,28.9431,34.2642,down,31.72,88.0,0
AMGN,SPY,LONG,431.21,347.4061,400.5498,up,27.25,87.0,3
HOOD,SPY,SHORT,95.1,96.2764,105.7623,down,26.5,86.0,0
DBX,SPY,LONG,34.0,27.3871,30.9987,up,26.49,85.0,0
LYFT,SPY,LONG,17.4,16.2279,15.4004,up,26.27,85.0,0
EXLS,SPY,LONG,37.05,33.594,33.5647,up,26.12,84.0,5
PLTR,SPY,LONG,173.96,151.6421,152.0672,up,25.49,83.0,2
ABBV,SPY,LONG,261.83,223.4794,245.06,up,21.87,82.0,0
IOS.DE,^GDAXI,SHORT,32.98,27.2089,34.3439,down,19.05,81.0,0
ARQT,SPY,SHORT,25.35,25.605,29.1362,down,18.22,80.0,1
RTX,SPY,LONG,212.29,189.954,210.7214,up,17.15,79.0,0
DE,SPY,SHORT,620.94,555.8022,633.9962,down,15.8,78.0,0
22UA.DE,^GDAXI,LONG,95.1,83.9492,82.1107,up,15.62,77.0,0
MSFT,SPY,LONG,481.15,429.5805,458.5286,up,14.01,76.0,0
CRM,SPY,LONG,205.43,200.3159,180.6813,up,13.15,75.0,3
BC8.DE,^GDAXI,LONG,35.38,34.3169,34.2822,up,11.91,75.0,0
AIR.DE,^GDAXI,LONG,204.9,188.4544,202.6107,up,11.72,74.0,0
KO,SPY,LONG,90.5,76.739,85.8649,up,11.34,73.0,6
CRSP,SPY,LONG,58.12,53.0949,51.0135,up,10.8,72.0,2
FTNT,SPY,LONG,150.79,105.8502,145.6367,up,10.7,71.0,0
MTX.DE,^GDAXI,LONG,359.3,343.5042,354.4283,up,10.37,70.0,0
V,SPY,LONG,365.73,330.4301,345.9263,up,10.37,70.0,1
UBER,SPY,LONG,78.55,77.2032,70.6315,up,10.16,68.0,1
B,SPY,LONG,46.27,41.6363,40.5275,up,8.51,67.0,5
MLB1.DE,^GDAXI,SHORT,1635.4,1605.8705,1677.1305,down,8.36,66.0,0
NOV.DE,^GDAXI,SHORT,39.76,31.7814,39.9423,down,8.2,65.0,0
APH,SPY,LONG,153.11,144.1991,150.619,up,8.01,65.0,0
GE,SPY,SHORT,344.64,318.8727,379.8536,down,7.86,64.0,0
ASML.AS,SPY,LONG,1505.4,1248.0553,1426.3372,up,7.03,63.0,0
MU,SPY,SHORT,974.33,567.2862,1044.515,down,6.91,62.0,0
IBKR,SPY,SHORT,89.85,77.4582,96.9743,down,6.64,61.0,1
LMT,SPY,LONG,571.48,548.1221,559.7458,up,6.08,60.0,0
CSF.DE,^GDAXI,LONG,257.8,240.1654,255.0546,up,4.27,59.0,0
NEM.DE,^GDAXI,SHORT,65.05,69.8744,65.8231,down,3.88,58.0,0
VERX,SPY,SHORT,13.58,14.9575,11.3407,up,2.12,57.0,3
ODD,SPY,SHORT,12.51,23.0673,15.1019,down,1.53,56.0,0
8RMY.DE,^GDAXI,LONG,10.61,9.9388,10.5173,up,1.5,55.0,0
GFT.DE,^GDAXI,LONG,22.8,19.1858,20.9774,up,1.47,55.0,0
ADN1.DE,^GDAXI,SHORT,61.6,67.2065,55.2232,up,0.98,54.0,3
HBH.DE,^GDAXI,LONG,81.1,79.585,80.221,up,0.61,53.0,0
FIGR,SPY,SHORT,36.06,36.9561,29.8431,up,0.52,52.0,1
SPY,SPY,LONG,762.6,704.5427,755.6609,up,0.0,51.0,0
HLT,SPY,SHORT,329.46,309.6174,336.7188,down,-0.07,50.0,0
BABA,SPY,SHORT,130.53,137.0077,118.8383,up,-0.12,49.0,3
NOC,SPY,SHORT,563.86,601.526,543.0256,up,-0.15,48.0,0
NVDA,SPY,LONG,216.85,195.0807,207.4053,up,-0.82,47.0,0
GMED,SPY,LONG,85.67,85.5769,80.0302,up,-1.19,46.0,0
SIX2.DE,^GDAXI,LONG,71.9,67.2157,68.9694,up,-2.77,45.0,0
DUK,SPY,SHORT,122.69,122.2779,128.9917,down,-2.82,45.0,0
SMCI,SPY,LONG,36.5,31.521,31.8789,up,-3.48,44.0,1
HAG.DE,^GDAXI,LONG,89.98,78.9577,84.2156,up,-3.57,43.0,0
PEGA,SPY,SHORT,33.61,42.6876,29.2735,up,-3.61,42.0,1
AMZN,SPY,LONG,260.11,238.3028,249.9177,up,-3.81,40.0,0
IESC,SPY,LONG,683.27,544.9181,630.8004,up,-3.81,40.0,0
QQQ,SPY,LONG,710.93,651.3245,698.2899,up,-4.4,39.0,0
MCD,SPY,SHORT,269.13,295.715,279.196,down,-4.84,38.0,0
MBB.DE,^GDAXI,SHORT,176.6,190.8649,192.762,down,-6.05,37.0,0
NEGG,SPY,SHORT,18.56,39.7293,14.1411,up,-6.68,36.0,0
RZLV,SPY,SHORT,2.47,2.7435,2.3355,up,-6.86,35.0,0
LUV,SPY,SHORT,39.89,42.4085,44.7057,down,-7.1,35.0,7
STO3.DE,^GDAXI,SHORT,95.0,106.6593,91.0575,up,-7.8,34.0,0
LRN,SPY,SHORT,84.07,82.0523,90.2155,down,-7.91,33.0,0
IBM,SPY,SHORT,233.69,262.6425,242.6433,down,-7.97,32.0,0
WH,SPY,SHORT,75.31,77.9645,79.176,down,-8.03,31.0,0
TIMA.DE,^GDAXI,SHORT,42.9,46.6161,45.9378,down,-8.22,30.0,3
ACHR,SPY,SHORT,6.09,6.6015,5.1652,up,-8.31,29.0,0
AMD,SPY,SHORT,469.46,328.7953,549.576,down,-8.69,28.0,1
CSCO,SPY,SHORT,109.59,92.1727,121.9721,down,-8.9,27.0,0
KTN.DE,^GDAXI,SHORT,21.92,22.5764,22.3553,down,-9.39,26.0,0
CEG,SPY,SHORT,272.92,299.3742,254.4442,up,-11.22,25.0,0
VRSN,SPY,LONG,276.9,257.7464,266.0669,up,-11.36,25.0,0
KGX.DE,^GDAXI,SHORT,39.53,50.8804,43.717,down,-12.11,24.0,2
META,SPY,SHORT,545.83,623.7952,605.1589,down,-12.64,23.0,4
RHM.DE,^GDAXI,SHORT,1162.2,1420.4874,1070.2165,up,-13.04,22.0,0
GOOG,SPY,LONG,338.2,331.5145,332.7636,up,-13.93,21.0,0
ESLT,SPY,SHORT,743.67,736.6267,825.7204,down,-14.51,20.0,1
LHX,SPY,SHORT,270.44,314.1975,296.6089,down,-15.24,19.0,4
AVGO,SPY,SHORT,364.03,368.2571,410.4079,down,-15.46,18.0,0
RBC,SPY,SHORT,504.61,540.4138,563.9702,down,-15.52,17.0,7
ST5.DE,^GDAXI,SHORT,18.1,20.7466,19.3685,down,-16.23,16.0,3
RBLX,SPY,SHORT,38.63,63.4244,44.4363,down,-17.88,15.0,0
JBL,SPY,SHORT,316.65,287.4619,369.5198,down,-18.57,15.0,0
EXTR,SPY,SHORT,22.32,20.7073,26.4923,down,-19.26,14.0,3
PUM.DE,^GDAXI,SHORT,25.06,23.9007,27.6084,down,-20.02,13.0,0
2GB.DE,^GDAXI,SHORT,56.05,46.129,65.3972,down,-20.7,12.0,2
TSLA,SPY,SHORT,345.13,403.8479,354.9508,down,-22.26,11.0,0
DUE.DE,^GDAXI,SHORT,17.04,19.9782,18.364,down,-22.79,10.0,5
SZG.DE,^GDAXI,LONG,48.76,47.1334,47.545,up,-23.37,9.0,0
BWXT,SPY,SHORT,156.44,194.2553,177.1135,down,-25.2,8.0,5
ORCL,SPY,SHORT,142.07,172.6392,133.4087,up,-28.02,7.0,0
BIDU,SPY,SHORT,91.97,124.3209,103.6285,down,-29.35,6.0,4
XPEV,SPY,SHORT,12.0,17.2192,12.8871,down,-29.35,6.0,0
CRNC,SPY,SHORT,7.95,9.6042,9.6391,down,-31.76,5.0,4
QUBT,SPY,SHORT,8.14,9.743,9.3209,down,-32.17,4.0,5
