ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MU,SPY,LONG,1051.6083,410.6616,935.6566,up,182.0,100.0,0
AMD,SPY,SHORT,519.85,264.8881,565.8813,down,141.11,99.0,0
DELL,SPY,LONG,427.0743,175.6095,363.2541,up,130.05,98.0,3
EXTR,SPY,LONG,31.45,19.077,27.815,up,89.42,97.0,2
HPE,SPY,SHORT,48.92,26.3184,56.2529,down,81.69,96.0,0
2GB.DE,^GDAXI,SHORT,68.1491,40.058,72.0707,down,69.21,95.0,0
FTNT,SPY,LONG,148.0,90.597,129.8564,up,68.64,95.0,2
NOV.DE,^GDAXI,LONG,37.0921,30.5137,33.1672,up,60.69,94.0,0
U,SPY,SHORT,27.61,33.0384,26.4016,up,47.17,93.0,0
HIMS,SPY,SHORT,32.96,33.2267,27.2144,up,44.0,92.0,1
QCOM,SPY,SHORT,204.13,165.8811,251.372,down,42.94,91.0,0
CRNC,SPY,SHORT,10.08,10.0319,12.9768,down,40.83,90.0,0
IESC,SPY,LONG,710.54,484.1385,620.2636,up,37.52,89.0,0
SMCI,SPY,SHORT,33.32,35.4899,39.5813,down,36.01,88.0,0
CSCO,SPY,LONG,120.6985,82.3827,114.2561,up,34.24,87.0,0
QUBT,SPY,SHORT,10.49,11.7639,12.5322,down,33.32,86.0,0
HOOD,SPY,LONG,103.25,102.8172,87.4327,up,32.76,85.0,2
SZG.DE,^GDAXI,SHORT,51.25,42.0304,59.1148,down,30.52,85.0,3
RKLB,SPY,SHORT,95.12,74.336,128.9588,down,30.24,84.0,3
IBKR,SPY,LONG,94.7,72.3732,87.1206,up,29.19,83.0,2
JBL,SPY,LONG,372.9094,262.253,339.024,up,27.23,82.0,0
KTN.DE,^GDAXI,LONG,23.42,23.202,22.2106,up,21.12,81.0,0
ASML.AS,SPY,LONG,1558.9227,1099.4058,1507.3004,up,20.17,80.0,0
APH,SPY,LONG,158.7,136.5689,147.7935,up,15.07,79.0,0
GFT.DE,^GDAXI,SHORT,20.2951,18.2549,23.035,down,14.47,78.0,0
LUV,SPY,LONG,49.41,39.2321,43.0725,up,11.53,77.0,6
PUM.DE,^GDAXI,LONG,26.14,22.5173,25.8514,up,11.16,76.0,0
GE,SPY,LONG,356.0262,305.3769,328.6906,up,10.96,75.0,4
QQQ,SPY,SHORT,713.65,628.6283,749.0883,down,10.5,75.0,1
