ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MRNA,SPY,LONG,137.99,51.7627,102.007,up,179.0,100.0,0
WIX,SPY,LONG,87.62,76.3401,73.302,up,56.83,99.0,4
PTGX,SPY,LONG,144.33,104.5039,142.4654,up,49.01,98.0,0
CERT,SPY,LONG,8.35,7.2262,7.5251,up,46.84,96.0,1
U,SPY,LONG,43.31,31.9815,40.9765,up,45.95,95.0,0
RDNT,SPY,LONG,74.61,66.1018,68.201,up,41.57,94.0,0
ANGO,SPY,LONG,15.85,12.1462,14.5177,up,39.25,93.0,1
TOST,SPY,LONG,35.15,30.1836,33.2702,up,37.94,92.0,0
ODD,SPY,SHORT,14.35,22.2547,15.1019,down,37.73,90.0,0
CRM,SPY,LONG,256.0,199.6069,220.2613,up,32.39,89.0,8
PLTR,SPY,LONG,186.29,151.3714,163.4062,up,28.74,88.0,4
NTNX,SPY,LONG,69.16,48.8186,62.8142,up,28.13,87.0,3
EXLS,SPY,LONG,38.4,33.5471,35.4576,up,28.12,86.0,6
DBX,SPY,LONG,35.7,27.5502,32.769,up,27.13,85.0,4
AMGN,SPY,LONG,432.42,351.4731,412.6714,up,26.33,83.0,0
ASAN,SPY,LONG,10.19,8.8872,8.6773,up,25.59,82.0,4
HOOD,SPY,LONG,104.26,95.41,91.3705,up,23.58,81.0,0
LYFT,SPY,LONG,17.7,16.1168,15.7048,up,23.35,80.0,2
RTX,SPY,SHORT,211.71,191.0685,222.7438,down,20.84,79.0,0
V,SPY,LONG,381.6,331.7988,363.2245,up,20.11,77.0,3
MSFT,SPY,LONG,513.53,429.3984,476.5203,up,18.13,76.0,7
ABBV,SPY,LONG,255.48,224.9811,247.8686,up,16.23,75.0,0
FIGR,SPY,SHORT,36.05,36.963,32.4061,up,14.1,74.0,0
RZLV,SPY,LONG,2.97,2.7082,2.4871,up,13.52,73.0,4
KO,SPY,LONG,89.66,77.422,87.318,up,12.31,71.0,0
DLTR,SPY,LONG,128.26,116.4686,122.7186,up,11.74,70.0,0
FTNT,SPY,LONG,166.0,108.1109,146.2178,up,11.06,69.0,2
ARQT,SPY,SHORT,23.78,25.6164,27.4007,down,9.12,68.0,5
VERX,SPY,SHORT,14.225,14.7788,12.5409,up,8.95,67.0,4
CRSP,SPY,LONG,57.72,53.1555,52.2721,up,8.56,65.0,0
LMT,SPY,SHORT,563.85,551.1636,604.3078,down,7.85,64.0,0
IBKR,SPY,LONG,95.84,78.2033,87.4197,up,7.71,63.0,0
