ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MU,SPY,SIGNAL,1133.8156,400.5603,863.8733,up,172.2,100.0,0
AMD,SPY,SHORT,537.37,261.1503,565.8813,down,147.04,99.0,0
DELL,SPY,LONG,408.8244,172.6217,363.2541,up,117.57,98.0,1
2GB.DE,^GDAXI,SHORT,69.6436,39.5392,72.0707,down,93.91,97.0,0
EXTR,SPY,LONG,31.38,18.9814,27.506,up,92.51,96.0,3
HPE,SPY,SHORT,47.41,26.057,56.2529,down,84.33,95.0,0
FTNT,SPY,LONG,144.73,89.8952,129.8564,up,67.8,95.0,0
QCOM,SPY,SHORT,226.11,165.3076,251.372,down,61.76,94.0,0
HIMS,SPY,LONG,35.47,33.357,26.7354,up,51.6,93.0,5
RKLB,SPY,SHORT,107.24,73.7915,136.9275,down,47.69,92.0,0
NOV.DE,^GDAXI,SHORT,33.8889,30.462,36.184,down,47.16,91.0,0
CRNC,SPY,SHORT,10.77,10.027,12.9768,down,47.09,90.0,0
HOOD,SPY,LONG,108.15,102.7911,84.8396,up,41.94,89.0,5
U,SPY,SHORT,27.48,33.161,26.4016,up,36.87,88.0,0
CSCO,SPY,LONG,119.0945,81.8383,114.2561,up,34.02,87.0,0
SZG.DE,^GDAXI,SHORT,51.9,41.5711,63.7407,down,33.25,86.0,3
IBKR,SPY,LONG,96.0,72.0546,86.2578,up,30.72,85.0,6
QUBT,SPY,SHORT,10.76,11.8053,12.5322,down,29.81,85.0,0
IESC,SPY,LONG,712.39,480.3209,620.2636,up,29.09,84.0,0
ASML.AS,SPY,LONG,1673.9841,1084.9206,1491.8164,up,28.67,83.0,6
PUM.DE,^GDAXI,LONG,28.22,22.4088,25.8514,up,27.72,82.0,1
SMCI,SPY,SHORT,30.66,35.55,39.5813,down,23.3,81.0,0
JBL,SPY,LONG,371.7997,260.5562,339.024,up,19.48,80.0,0
GFT.DE,^GDAXI,LONG,21.4172,18.1935,20.3538,up,16.85,79.0,0
SIX2.DE,^GDAXI,LONG,73.25,68.8498,67.2613,up,15.12,78.0,4
AVGO,SPY,SHORT,410.7,358.5897,448.4277,down,14.62,77.0,0
APH,SPY,LONG,163.713,136.0565,145.461,up,13.52,76.0,5
GOOG,SPY,SHORT,367.46,310.2524,383.8414,down,12.52,75.0,0
QQQ,SPY,SHORT,739.807,627.0694,749.0883,down,12.2,75.0,0
KTN.DE,^GDAXI,LONG,23.44,23.2085,21.9816,up,11.48,74.0,0
ORCL,SPY,SHORT,183.6511,203.3391,220.1694,down,11.11,73.0,1
MRNA,SPY,LONG,63.96,39.2193,52.1158,up,9.96,72.0,7
GE,SPY,LONG,357.1948,304.6003,328.6906,up,8.44,71.0,5
AIR.DE,^GDAXI,LONG,191.78,186.6913,174.5286,up,6.89,70.0,0
BC8.DE,^GDAXI,SHORT,30.26,35.0647,33.3237,down,6.58,69.0,0
LUV,SPY,LONG,47.97,39.0553,42.5741,up,6.34,68.0,5
NVDA,SPY,SHORT,210.69,189.6844,228.4627,down,5.78,67.0,0
ARQT,SPY,LONG,26.21,23.9994,22.8563,up,5.45,66.0,0
NTNX,SPY,SHORT,46.9,52.2848,52.7022,down,4.69,65.0,0
AMZN,SPY,SHORT,244.39,232.8037,260.8598,down,3.31,65.0,0
CRSP,SPY,SHORT,54.09,55.533,47.4564,up,1.88,64.0,2
HLT,SPY,LONG,348.6812,296.2076,327.8477,up,1.75,63.0,3
RBC,SPY,LONG,639.18,497.811,580.3832,up,1.13,62.0,0
DUE.DE,^GDAXI,SHORT,19.66,20.2717,20.9237,down,1.1,61.0,0
MTX.DE,^GDAXI,SHORT,341.2,345.9389,298.6002,up,0.42,60.0,7
SPY,SPY,SHORT,746.74,684.4873,759.2122,down,0.0,59.0,0
ANGO,SPY,LONG,12.15,11.4065,11.1238,up,-0.32,58.0,1
IOS.DE,^GDAXI,SHORT,26.94,28.4406,30.2552,down,-2.06,57.0,0
PTGX,SPY,LONG,112.86,87.4975,99.172,up,-2.2,56.0,0
DBX,SPY,SHORT,25.97,27.1901,24.7978,up,-2.29,55.0,0
ASAN,SPY,SHORT,6.92,10.3156,8.5807,down,-3.72,55.0,0
VRSN,SPY,SHORT,263.8654,256.5886,287.891,down,-4.58,54.0,4
WH,SPY,LONG,84.2,78.2777,76.0849,up,-5.23,53.0,0
LYFT,SPY,SHORT,14.28,17.2336,12.8523,up,-6.11,52.0,0
V,SPY,SHORT,326.6332,327.3421,311.813,up,-6.67,51.0,0
22UA.DE,^GDAXI,SHORT,78.85,85.4647,81.8436,down,-6.86,50.0,0
KO,SPY,LONG,79.39,72.7561,77.6236,up,-7.61,49.0,0
B,SPY,SHORT,40.34,40.172,43.3246,down,-8.1,48.0,0
ABBV,SPY,SHORT,214.9599,216.5386,209.7253,up,-8.24,47.0,0
RZLV,SPY,SHORT,2.72,3.399,2.9081,down,-8.78,46.0,0
DLTR,SPY,LONG,111.65,109.322,99.9597,up,-9.81,45.0,0
TSLA,SPY,SHORT,400.49,416.9638,444.2399,down,-10.06,45.0,0
IBM,SPY,SHORT,247.3258,268.5279,284.7172,down,-10.32,44.0,3
MLB1.DE,^GDAXI,SHORT,1426.4,1693.172,1492.3969,down,-11.34,43.0,0
CSF.DE,^GDAXI,SHORT,231.4,,240.7683,down,-12.54,42.0,0
MSFT,SPY,SHORT,378.6871,448.7107,412.2138,down,-12.61,41.0,4
HAG.DE,^GDAXI,SHORT,71.58,83.0585,82.8866,down,-13.21,40.0,0
HBH.DE,^GDAXI,SHORT,75.1456,82.3547,78.7363,down,-13.24,39.0,0
DE,SPY,LONG,587.7167,524.109,542.8803,up,-13.26,38.0,1
ACHR,SPY,SHORT,5.57,7.7217,6.4759,down,-13.53,37.0,0
TIMA.DE,^GDAXI,SHORT,45.1,47.2091,47.5022,down,-13.94,36.0,0
BWXT,SPY,SHORT,205.0767,195.8865,206.7639,down,-14.17,35.0,0
BIDU,SPY,SHORT,111.76,127.7626,127.2703,down,-15.3,35.0,5
8RMY.DE,^GDAXI,SHORT,9.61,10.1452,10.1808,down,-15.31,34.0,0
UBER,SPY,SHORT,71.64,82.0745,74.7663,down,-15.59,33.0,0
MBB.DE,^GDAXI,SHORT,178.0,189.4958,186.3508,down,-15.94,31.0,0
STO3.DE,^GDAXI,SHORT,97.09,112.0626,101.5058,down,-15.94,31.0,0
KGX.DE,^GDAXI,SHORT,42.4,54.3664,36.7642,up,-15.95,30.0,0
DUK,SPY,SHORT,122.7805,121.2058,125.1232,down,-16.54,29.0,0
AMGN,SPY,LONG,335.6385,325.9725,325.2145,up,-16.99,28.0,0
META,SPY,SHORT,577.22,653.6996,621.7754,down,-17.18,27.0,1
RTX,SPY,LONG,184.9855,180.627,175.072,up,-18.55,26.0,0
LRN,SPY,SHORT,82.8,94.3906,95.7968,down,-19.24,25.0,0
ODD,SPY,SHORT,13.07,31.9784,13.354,down,-20.05,25.0,0
RBLX,SPY,SHORT,51.53,81.5497,41.6977,up,-20.93,24.0,0
CEG,SPY,SHORT,273.6393,317.9505,278.2499,down,-21.52,23.0,0
TOST,SPY,SHORT,24.66,31.7663,23.7505,up,-21.95,22.0,0
VERX,SPY,SHORT,11.12,17.6354,13.3857,down,-22.11,21.0,0
GMED,SPY,SHORT,79.23,80.9039,83.5589,down,-22.76,20.0,0
ADN1.DE,^GDAXI,SHORT,50.8,76.006,59.0769,down,-22.8,19.0,1
MCD,SPY,SHORT,278.61,301.7392,288.6948,down,-23.5,18.0,2
ST5.DE,^GDAXI,SHORT,18.6606,21.6039,20.0819,down,-23.76,17.0,6
RDNT,SPY,SHORT,53.74,68.3321,60.046,down,-24.86,16.0,2
CERT,SPY,SHORT,5.54,8.2977,4.9882,up,-25.98,15.0,0
ESLT,SPY,LONG,787.2124,674.7097,778.7853,up,-26.43,15.0,0
BABA,SPY,SHORT,107.1,147.8603,117.1566,down,-28.48,14.0,7
FIGR,SPY,SHORT,28.55,,34.4089,down,-28.75,13.0,0
EXLS,SPY,SHORT,25.93,36.1815,29.9328,down,-29.04,12.0,6
NEM.DE,^GDAXI,SHORT,54.65,80.8957,62.5438,down,-30.02,11.0,0
RHM.DE,^GDAXI,SHORT,1178.6,1586.8069,1314.2272,down,-30.21,10.0,0
LMT,SPY,SHORT,510.95,532.4057,508.0357,up,-30.33,9.0,0
LHX,SPY,SHORT,294.82,313.5095,323.585,down,-30.38,8.0,3
CRM,SPY,SHORT,151.78,215.2335,175.4039,down,-31.27,7.0,4
PLTR,SPY,SHORT,128.47,159.91,147.3809,down,-31.62,6.0,1
NOC,SPY,SHORT,521.5,611.5414,567.5919,down,-37.83,5.0,4
EVTL,SPY,SHORT,2.15,4.2116,2.6525,down,-39.97,5.0,0
PEGA,SPY,SHORT,29.9827,48.5307,34.5946,down,-42.84,4.0,7
XPEV,SPY,SHORT,13.21,19.2032,15.044,down,-44.58,3.0,4
WIX,SPY,SHORT,42.49,98.9422,52.5872,down,-66.39,2.0,4
NEGG,SPY,SHORT,17.61,46.8081,23.0909,down,-73.53,1.0,2
