ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,440.97,224.0938,364.7623,up,74.93,100.0,0
CERT,SPY,LONG,8.13,7.4311,7.0566,up,73.1,99.0,2
U,SPY,LONG,43.87,31.5215,35.9726,up,57.56,98.0,8
HPE,SPY,LONG,54.38,30.3189,45.9698,up,56.54,97.0,0
ASAN,SPY,LONG,9.25,9.168,7.5384,up,55.95,96.0,2
TOST,SPY,LONG,34.88,30.286,31.281,up,47.93,95.0,3
RDNT,SPY,LONG,76.34,66.3152,65.3181,up,39.62,95.0,2
ANGO,SPY,LONG,15.75,11.9036,14.3056,up,39.53,94.0,6
DLTR,SPY,LONG,128.06,114.6089,118.499,up,39.08,93.0,0
NTNX,SPY,LONG,64.32,49.0236,57.5935,up,37.98,92.0,6
PTGX,SPY,LONG,148.29,99.6217,132.6129,up,37.23,91.0,4
LYFT,SPY,LONG,17.54,16.3367,15.4004,up,31.15,90.0,1
FTNT,SPY,LONG,161.89,103.3137,145.6367,up,29.59,89.0,0
MTX.DE,^GDAXI,LONG,375.7,343.5614,344.0934,up,28.31,88.0,0
PLTR,SPY,LONG,174.94,152.244,147.9174,up,27.56,87.0,6
DBX,SPY,LONG,34.08,27.2074,30.8333,up,26.82,86.0,1
APH,SPY,LONG,167.23,143.2638,149.3414,up,26.38,85.0,0
EXLS,SPY,LONG,34.9,33.7676,31.0378,up,26.24,85.0,3
RTX,SPY,LONG,223.1188,188.3815,209.2726,up,24.7,84.0,6
WIX,SPY,SHORT,66.71,80.1449,52.6359,up,23.3,83.0,3
GE,SPY,LONG,368.06,316.9667,351.5456,up,23.15,82.0,0
HIMS,SPY,SHORT,30.51,29.5578,35.2184,down,22.61,81.0,0
AMGN,SPY,LONG,411.8929,342.6163,378.0739,up,20.89,80.0,4
MSFT,SPY,LONG,502.8633,430.9106,458.5286,up,20.06,79.0,6
ASML.AS,SPY,SHORT,1554.0,1225.4102,1614.6837,down,19.28,78.0,0
ARQT,SPY,SHORT,26.23,25.4952,29.264,down,18.35,77.0,0
MRNA,SPY,SHORT,60.57,45.9218,65.6268,down,17.81,76.0,0
AIR.DE,^GDAXI,LONG,212.4,188.2915,199.3731,up,17.55,75.0,0
ABBV,SPY,SHORT,250.09,222.2821,264.8603,down,16.24,75.0,0
CRM,SPY,SHORT,197.47,202.2493,173.596,up,14.88,74.0,4
HOOD,SPY,SHORT,94.38,97.9133,105.7623,down,13.69,73.0,0
BC8.DE,^GDAXI,LONG,36.0,34.338,34.2822,up,13.6,72.0,0
LUV,SPY,SHORT,45.52,41.9793,50.3163,down,12.99,71.0,0
LMT,SPY,LONG,597.77,543.9858,552.3627,up,12.36,70.0,3
MLB1.DE,^GDAXI,SHORT,1660.2,1619.4595,1677.1305,down,12.27,69.0,0
CSF.DE,^GDAXI,LONG,268.3,239.5514,251.1429,up,10.61,68.0,6
V,SPY,LONG,362.82,329.6929,344.1767,up,9.45,67.0,0
MU,SPY,SHORT,868.52,541.5057,1044.515,down,8.68,66.0,0
IESC,SPY,LONG,780.0,533.1949,609.0351,up,8.62,65.0,0
8RMY.DE,^GDAXI,LONG,10.822,9.8977,10.2195,up,8.11,65.0,6
GMED,SPY,LONG,85.15,84.73,76.3881,up,7.03,64.0,0
IBM,SPY,SHORT,238.42,264.8908,242.6433,down,6.71,63.0,0
HAG.DE,^GDAXI,LONG,90.5,78.9798,79.9279,up,6.21,62.0,3
KO,SPY,LONG,86.48,76.0282,83.2182,up,4.93,61.0,0
DE,SPY,LONG,617.95,550.9444,583.9641,up,4.56,60.0,1
CRSP,SPY,SHORT,54.07,53.4232,54.2048,down,3.92,59.0,0
IOS.DE,^GDAXI,SHORT,32.64,27.1685,34.3439,down,3.16,58.0,0
RZLV,SPY,SHORT,2.78,2.8091,2.3355,up,2.85,57.0,0
ACHR,SPY,LONG,6.79,6.766,5.1437,up,2.67,56.0,3
AMD,SPY,SHORT,474.32,320.6667,557.3343,down,2.22,55.0,0
NOC,SPY,SHORT,575.69,601.813,536.0117,up,2.13,55.0,6
UBER,SPY,LONG,78.54,77.8824,70.1166,up,1.9,54.0,0
HBH.DE,^GDAXI,LONG,84.8,79.7027,80.221,up,1.71,53.0,2
CSCO,SPY,LONG,120.43,90.6795,111.6682,up,1.37,52.0,0
SPY,SPY,LONG,770.56,701.2072,748.4185,up,0.0,51.0,0
AMZN,SPY,LONG,272.27,237.0885,249.9177,up,-1.37,50.0,0
IBKR,SPY,SHORT,89.78,76.6587,96.9743,down,-1.46,49.0,0
NOV.DE,^GDAXI,SHORT,37.0603,31.4836,39.9449,down,-1.47,48.0,0
CEG,SPY,SHORT,277.9327,303.1083,249.0199,up,-1.97,47.0,3
JBL,SPY,LONG,356.533,282.7634,301.4991,up,-2.59,46.0,0
MCD,SPY,SHORT,274.15,296.7339,279.196,down,-2.88,45.0,0
SIX2.DE,^GDAXI,LONG,71.15,67.2497,66.3351,up,-3.22,45.0,1
GFT.DE,^GDAXI,LONG,21.9,19.0093,20.9774,up,-3.28,44.0,0
DUK,SPY,SHORT,122.1163,122.2183,128.9917,down,-3.3,43.0,0
QQQ,SPY,LONG,718.45,647.8365,681.1101,up,-3.33,42.0,0
ESLT,SPY,SHORT,776.08,726.3203,870.147,down,-3.56,41.0,0
ODD,SPY,SHORT,12.48,24.2294,15.5412,down,-3.74,40.0,0
22UA.DE,^GDAXI,SHORT,79.85,84.1608,84.5186,down,-3.78,39.0,0
HLT,SPY,SHORT,314.5168,307.361,336.7188,down,-3.8,38.0,1
PEGA,SPY,SHORT,32.9851,43.8063,28.6928,up,-4.12,37.0,0
VERX,SPY,SHORT,12.23,15.3552,11.0985,up,-4.47,36.0,0
2GB.DE,^GDAXI,SHORT,55.8942,45.1697,65.4442,down,-4.65,35.0,3
VRSN,SPY,LONG,286.7881,256.3613,266.0669,up,-4.81,35.0,0
ADN1.DE,^GDAXI,SHORT,60.5,68.3523,55.2232,up,-5.32,34.0,0
META,SPY,SHORT,599.12,629.0945,611.3743,down,-6.29,33.0,0
EXTR,SPY,SHORT,23.9,20.5752,28.9101,down,-6.54,32.0,0
PUM.DE,^GDAXI,LONG,26.66,23.6933,26.3844,up,-7.55,31.0,0
SMCI,SPY,SHORT,31.6,31.9699,25.7602,up,-7.59,30.0,2
MBB.DE,^GDAXI,SHORT,187.0,191.3675,176.641,up,-8.42,29.0,0
AVGO,SPY,LONG,416.08,367.3842,378.34,up,-8.5,28.0,0
B,SPY,SHORT,40.13,41.2487,38.8855,up,-9.89,27.0,0
LHX,SPY,SHORT,286.02,314.3812,305.6355,down,-9.9,26.0,0
NVDA,SPY,LONG,217.5,194.1702,199.6494,up,-10.89,25.0,0
STO3.DE,^GDAXI,SHORT,95.1,107.4698,91.0575,up,-11.37,25.0,0
KTN.DE,^GDAXI,SHORT,21.98,22.6087,22.3553,down,-11.59,24.0,0
