ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,456.7852,196.3962,363.2541,up,130.26,100.0,3
MU,SPY,LONG,983.12,472.2628,935.6566,up,107.62,99.0,0
FTNT,SPY,LONG,166.83,95.8871,141.4072,up,95.04,98.0,3
AMD,SPY,LONG,548.13,291.4674,456.1043,up,89.56,97.0,0
HPE,SPY,SHORT,49.56,27.8309,50.9157,down,84.56,96.0,0
EXTR,SPY,LONG,33.02,19.7451,28.3642,up,81.26,95.0,2
NTNX,SPY,LONG,55.47,50.3573,49.484,up,32.86,95.0,0
CSCO,SPY,SHORT,117.09,85.9044,123.5837,down,31.66,94.0,0
2GB.DE,^GDAXI,SHORT,62.1213,42.5282,72.0707,down,26.69,93.0,3
QCOM,SPY,SHORT,178.1,167.6659,219.863,down,25.51,92.0,3
HOOD,SPY,LONG,113.45,102.0448,94.5053,up,23.2,91.0,2
HIMS,SPY,LONG,35.15,31.9997,29.5844,up,22.81,90.0,0
NOV.DE,^GDAXI,LONG,38.7185,30.9452,36.3746,up,20.51,89.0,0
ASAN,SPY,SHORT,7.46,9.7719,7.7921,down,20.1,88.0,0
IESC,SPY,SHORT,616.15,505.1902,745.7546,down,20.04,87.0,0
PTGX,SPY,LONG,131.27,92.8933,122.865,up,19.12,86.0,0
ASML.AS,SPY,LONG,1553.9287,1161.8031,1507.3004,up,18.88,85.0,0
DLTR,SPY,LONG,124.56,111.2129,113.6459,up,17.22,85.0,1
DBX,SPY,LONG,29.97,26.9606,26.8168,up,16.93,84.0,6
ANGO,SPY,LONG,13.0,11.5821,12.0957,up,16.86,83.0,1
MRNA,SPY,LONG,67.44,42.7983,65.1829,up,15.91,82.0,0
U,SPY,SHORT,31.75,31.9486,26.8603,up,15.02,81.0,5
IBKR,SPY,SHORT,95.61,74.4522,98.2139,down,13.14,80.0,0
CRNC,SPY,SHORT,10.24,10.0132,12.3243,down,13.04,79.0,1
GE,SPY,LONG,353.73,310.8665,349.3488,up,11.31,78.0,0
AIR.DE,^GDAXI,LONG,195.86,187.5775,193.4133,up,10.15,77.0,0
LUV,SPY,LONG,47.56,40.5286,46.2807,up,10.14,76.0,0
ABBV,SPY,LONG,243.05,219.3958,234.7765,up,9.7,75.0,0
SZG.DE,^GDAXI,SIGNAL,55.05,43.9704,45.3659,up,8.43,75.0,0
GFT.DE,^GDAXI,SHORT,20.45,18.544,22.226,down,7.44,74.0,0
V,SPY,LONG,355.3598,327.7118,332.352,up,5.79,73.0,3
PUM.DE,^GDAXI,LONG,28.34,23.0299,25.8514,up,5.68,72.0,1
QQQ,SPY,SHORT,719.69,637.8396,749.0883,down,5.07,71.0,0
