ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,494.51,227.4387,396.7066,up,102.51,100.0,4
HPE,SPY,LONG,59.82,30.6821,51.5695,up,76.22,99.0,4
CERT,SPY,LONG,8.15,7.3861,7.0566,up,73.15,98.0,2
U,SPY,LONG,45.79,31.6052,38.2925,up,65.28,97.0,8
TOST,SPY,LONG,35.22,30.2466,31.281,up,49.98,96.0,2
ASAN,SPY,LONG,9.87,9.1162,7.5384,up,44.87,95.0,4
PTGX,SPY,LONG,151.42,100.3947,136.5043,up,44.73,95.0,4
WIX,SPY,LONG,80.06,79.4831,59.2166,up,38.02,94.0,7
NTNX,SPY,LONG,67.95,48.9879,59.5124,up,37.62,93.0,7
RDNT,SPY,LONG,77.31,66.2551,67.4438,up,37.14,92.0,3
DLTR,SPY,LONG,129.53,114.9013,119.6222,up,36.4,91.0,1
ANGO,SPY,LONG,15.66,11.939,14.3056,up,35.88,90.0,4
MU,SPY,SHORT,949.83,548.6848,1044.515,down,33.8,89.0,0
APH,SPY,LONG,165.75,143.604,149.9326,up,30.8,88.0,0
PLTR,SPY,LONG,179.01,152.1687,149.4323,up,26.88,87.0,5
MRNA,SPY,SHORT,63.65,46.2935,65.6268,down,26.72,86.0,0
FTNT,SPY,LONG,165.44,104.0927,145.6367,up,25.2,85.0,2
MTX.DE,^GDAXI,LONG,377.0,343.5291,349.2714,up,24.39,85.0,0
HIMS,SPY,SHORT,28.77,29.3651,35.2184,down,23.49,84.0,1
ARQT,SPY,SHORT,25.83,25.5548,29.264,down,23.37,83.0,0
AMGN,SPY,LONG,415.4123,343.9179,382.2246,up,23.23,82.0,5
HOOD,SPY,SHORT,99.37,97.5141,105.7623,down,23.22,81.0,0
DBX,SPY,LONG,35.93,27.2616,30.8333,up,22.83,80.0,4
LYFT,SPY,LONG,17.13,16.3,15.4004,up,22.54,79.0,0
AIR.DE,^GDAXI,LONG,213.0,188.3769,201.165,up,21.43,78.0,0
SMCI,SPY,LONG,39.16,31.8727,31.8789,up,21.35,77.0,7
GE,SPY,LONG,360.64,317.557,351.5456,up,20.68,76.0,0
RTX,SPY,LONG,219.75,188.8261,209.2726,up,20.25,75.0,0
EXLS,SPY,LONG,35.37,33.7034,31.0378,up,16.38,75.0,3
ABBV,SPY,SHORT,250.82,222.5515,264.8603,down,15.04,74.0,0
ASML.AS,SPY,SHORT,1609.4,1232.2015,1614.6837,down,14.78,73.0,0
ACHR,SPY,LONG,6.97,6.7213,5.1437,up,12.15,72.0,3
MSFT,SPY,LONG,495.9464,430.6696,458.5286,up,11.99,71.0,3
LUV,SPY,SHORT,44.87,42.1134,50.1054,down,11.9,70.0,2
CSF.DE,^GDAXI,LONG,268.4,239.6949,254.2607,up,11.36,69.0,4
IOS.DE,^GDAXI,SHORT,33.16,27.1696,34.3439,down,10.79,68.0,0
BC8.DE,^GDAXI,LONG,34.52,34.328,34.2822,up,9.64,67.0,0
AMD,SPY,SHORT,483.01,323.0568,557.3343,down,9.15,66.0,0
IESC,SPY,LONG,748.44,536.6819,628.7692,up,8.81,65.0,0
8RMY.DE,^GDAXI,LONG,10.966,9.9094,10.4423,up,8.61,65.0,6
LMT,SPY,LONG,598.01,545.2354,556.2851,up,8.35,64.0,2
CRM,SPY,SHORT,201.37,201.6904,173.596,up,6.9,63.0,4
CRSP,SPY,SHORT,53.99,53.289,54.2048,down,5.6,62.0,0
V,SPY,LONG,365.45,329.8781,344.1767,up,4.49,61.0,1
MLB1.DE,^GDAXI,SHORT,1594.4,1616.5355,1677.1305,down,4.21,60.0,0
ODD,SPY,SHORT,13.33,23.8963,15.5412,down,3.77,59.0,0
JBL,SPY,LONG,370.28,284.3526,322.0669,up,3.76,58.0,2
GMED,SPY,LONG,85.94,84.9626,76.6686,up,3.3,57.0,0
GFT.DE,^GDAXI,LONG,23.2,19.0534,20.9774,up,3.2,56.0,0
DE,SPY,LONG,612.38,552.4363,583.9641,up,3.18,55.0,0
KO,SPY,LONG,87.42,76.2147,83.2182,up,2.77,55.0,3
SIX2.DE,^GDAXI,LONG,74.15,67.2486,68.9694,up,1.87,54.0,6
IBM,SPY,SHORT,237.14,264.3692,242.6433,down,1.64,53.0,0
2GB.DE,^GDAXI,SHORT,57.8869,45.425,65.4442,down,1.52,52.0,0
RZLV,SPY,SHORT,2.65,2.79,2.3355,up,0.84,51.0,0
HBH.DE,^GDAXI,LONG,83.1,79.6653,80.221,up,0.79,50.0,0
CEG,SPY,SHORT,278.2123,302.1366,250.6556,up,0.77,49.0,3
IBKR,SPY,SHORT,91.42,76.8968,96.9743,down,0.68,48.0,0
SPY,SPY,LONG,777.88,702.2694,754.0254,up,0.0,47.0,0
NOC,SPY,SHORT,574.74,601.5867,537.5897,up,-0.62,46.0,4
HAG.DE,^GDAXI,LONG,92.42,78.9402,82.329,up,-1.32,45.0,5
QQQ,SPY,LONG,732.07,648.9993,691.4602,up,-1.76,45.0,0
NOV.DE,^GDAXI,SHORT,36.195,31.5345,39.9423,down,-1.87,44.0,0
ESLT,SPY,SHORT,779.62,729.2349,859.0672,down,-2.95,43.0,0
22UA.DE,^GDAXI,SHORT,80.6,84.063,84.5186,down,-3.61,42.0,0
NVDA,SPY,LONG,225.3,194.5774,204.1621,up,-4.12,41.0,0
DUK,SPY,SHORT,123.405,122.2174,128.9917,down,-4.24,40.0,0
B,SPY,SHORT,40.91,41.3427,38.8855,up,-4.39,39.0,0
UBER,SPY,SHORT,75.88,77.6952,70.1166,up,-4.52,38.0,0
ADN1.DE,^GDAXI,SHORT,60.1,68.0145,55.2232,up,-4.55,37.0,0
HLT,SPY,SHORT,320.674,307.9045,336.7188,down,-4.69,36.0,0
RBC,SPY,SHORT,554.25,537.285,606.21,down,-5.01,35.0,2
AMZN,SPY,LONG,265.13,237.5241,249.9177,up,-5.48,35.0,0
VERX,SPY,SHORT,13.25,15.2294,11.0985,up,-5.66,34.0,2
EXTR,SPY,SHORT,24.05,20.6074,28.9101,down,-5.83,33.0,0
AVGO,SPY,LONG,417.82,368.0809,378.34,up,-6.11,32.0,0
PEGA,SPY,SHORT,33.404,43.4732,28.6928,up,-7.42,31.0,0
META,SPY,SHORT,594.97,627.6209,611.3743,down,-8.15,30.0,0
MCD,SPY,SHORT,272.25,296.4655,279.196,down,-8.55,29.0,0
PUM.DE,^GDAXI,LONG,26.64,23.7405,26.3844,up,-9.23,28.0,0
KGX.DE,^GDAXI,SHORT,41.48,51.3417,44.7445,down,-9.78,27.0,0
CSCO,SPY,LONG,113.47,91.1718,111.7525,up,-9.78,27.0,0
WH,SPY,SHORT,74.31,77.9153,79.1981,down,-9.97,25.0,0
RHM.DE,^GDAXI,SHORT,1164.6,1433.4851,1070.2165,up,-10.58,25.0,0
STO3.DE,^GDAXI,SHORT,93.8,107.2117,91.0575,up,-11.03,24.0,0
KTN.DE,^GDAXI,SHORT,21.78,22.5753,22.3553,down,-11.19,23.0,0
VRSN,SPY,LONG,286.3095,256.7457,266.0669,up,-11.28,22.0,0
NEGG,SPY,SHORT,18.93,41.0935,14.1411,up,-11.68,21.0,0
MBB.DE,^GDAXI,SHORT,178.2,191.1883,176.641,up,-12.34,20.0,0
LRN,SPY,SHORT,83.67,82.5133,90.2155,down,-12.43,19.0,0
LHX,SPY,SHORT,288.46,314.3789,305.6355,down,-12.5,18.0,0
BABA,SPY,SHORT,122.16,138.1897,118.8383,up,-13.07,17.0,0
SZG.DE,^GDAXI,LONG,51.75,46.5844,47.545,up,-13.35,16.0,0
