ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
FTNT,SPY,LONG,161.61,97.0607,145.362,up,83.71,100.0,0
MU,SPY,SHORT,848.95,482.9088,1110.5031,down,83.1,99.0,0
DELL,SPY,LONG,395.6861,200.4351,363.2541,up,80.79,98.0,0
AMD,SPY,LONG,495.76,296.6862,456.1043,up,68.42,97.0,0
EXTR,SPY,LONG,30.34,19.8898,28.3642,up,56.67,96.0,0
HPE,SPY,SHORT,45.82,28.1664,50.9157,down,53.94,95.0,0
NOV.DE,^GDAXI,LONG,39.9916,31.0721,37.3302,up,31.03,95.0,1
NTNX,SPY,LONG,55.08,50.0323,49.484,up,28.27,94.0,0
PTGX,SPY,LONG,140.91,93.949,122.865,up,27.23,93.0,3
2GB.DE,^GDAXI,SHORT,62.7689,43.0062,72.0707,down,23.51,92.0,1
QCOM,SPY,SHORT,171.78,167.7848,201.0874,down,21.35,91.0,4
ASML.AS,SPY,LONG,1535.1512,1172.5461,1507.3004,up,20.68,90.0,0
ANGO,SPY,LONG,13.51,11.6327,12.492,up,20.19,89.0,0
CSCO,SPY,SHORT,111.94,86.5779,122.0523,down,19.42,88.0,1
ABBV,SPY,LONG,254.49,219.9488,237.5572,up,19.11,87.0,3
DBX,SPY,LONG,30.62,26.9511,27.8793,up,18.68,86.0,7
GE,SPY,SHORT,348.83,311.7327,376.3747,down,15.97,85.0,0
ARQT,SPY,LONG,28.49,24.9339,25.458,up,15.91,85.0,3
DLTR,SPY,LONG,125.94,111.7035,115.2658,up,15.45,84.0,1
ASAN,SPY,SHORT,7.69,9.6789,7.7921,down,15.07,83.0,0
GFT.DE,^GDAXI,SHORT,20.85,18.5902,22.226,down,12.83,82.0,0
AIR.DE,^GDAXI,LONG,194.28,187.6124,193.4133,up,12.76,81.0,0
LUV,SPY,LONG,48.08,40.7826,46.2807,up,12.17,80.0,0
MTX.DE,^GDAXI,SHORT,341.7,345.4773,373.5098,down,11.27,79.0,0
PUM.DE,^GDAXI,LONG,28.68,23.1566,26.0604,up,10.7,78.0,0
IOS.DE,^GDAXI,LONG,30.2,27.3372,27.3541,up,10.57,77.0,0
V,SPY,LONG,357.8951,328.0739,334.7131,up,10.09,76.0,1
HOOD,SPY,SHORT,99.96,101.7466,95.0614,up,9.81,75.0,0
U,SPY,SHORT,28.99,31.7618,26.8603,up,8.25,75.0,0
SZG.DE,^GDAXI,LONG,55.35,44.4048,46.0518,up,8.24,74.0,0
MRNA,SPY,SHORT,61.82,43.3924,76.409,down,8.16,73.0,0
IBKR,SPY,SHORT,90.53,74.8568,98.2139,down,7.98,72.0,2
CERT,SPY,SHORT,6.93,7.8463,6.0112,up,5.93,71.0,0
HIMS,SPY,LONG,32.84,31.6562,29.5844,up,4.51,70.0,0
KTN.DE,^GDAXI,LONG,22.96,22.918,22.253,up,4.49,69.0,0
KO,SPY,LONG,81.56,74.3704,79.2032,up,4.05,68.0,0
BC8.DE,^GDAXI,SHORT,30.28,34.4214,33.1548,down,3.41,67.0,2
IESC,SPY,SHORT,613.02,508.614,733.5088,down,2.81,66.0,0
RDNT,SPY,SHORT,62.19,67.2433,60.4048,up,2.3,65.0,0
QQQ,SPY,SHORT,695.33,639.526,740.306,down,2.19,65.0,4
AMGN,SPY,LONG,364.1618,334.2632,341.5904,up,1.18,64.0,1
SIX2.DE,^GDAXI,LONG,70.45,67.5532,64.0194,up,0.31,63.0,0
SPY,SPY,SHORT,743.29,693.44,759.2122,down,0.0,62.0,2
ODD,SPY,SHORT,16.325,27.5906,13.9627,up,-0.38,61.0,0
LYFT,SPY,SHORT,15.52,16.752,14.2338,up,-0.62,60.0,0
TOST,SPY,SHORT,30.08,30.6744,27.0574,up,-0.92,59.0,3
GOOG,SPY,SHORT,346.12,320.629,374.0294,down,-1.04,58.0,2
HBH.DE,^GDAXI,SHORT,79.7,80.0803,75.1285,up,-1.57,57.0,2
RTX,SPY,LONG,192.8693,184.0287,187.2101,up,-2.02,56.0,0
MLB1.DE,^GDAXI,SHORT,1580.6,1638.9295,1503.5472,up,-2.03,55.0,0
VRSN,SPY,LONG,276.8473,254.6944,254.4929,up,-2.65,55.0,0
VERX,SPY,SHORT,12.8,16.4346,11.1199,up,-3.44,54.0,0
DE,SPY,LONG,597.24,537.4384,572.2057,up,-3.88,53.0,0
NVDA,SPY,SHORT,202.81,192.1987,214.1479,down,-4.26,52.0,1
HAG.DE,^GDAXI,SHORT,76.32,80.6241,69.2405,up,-4.87,51.0,0
DUK,SPY,LONG,123.9205,121.9464,121.0037,up,-5.51,50.0,0
APH,SPY,SHORT,151.2,140.2094,169.6599,down,-6.17,49.0,0
CRNC,SPY,SHORT,8.63,9.9784,11.1831,down,-6.76,48.0,7
AMZN,SPY,LONG,247.23,234.0625,230.9895,up,-6.91,47.0,0
ADN1.DE,^GDAXI,SHORT,55.7,71.4882,50.1694,up,-6.99,46.0,0
8RMY.DE,^GDAXI,SHORT,9.525,9.9483,9.9846,down,-7.2,45.0,0
TSLA,SPY,SHORT,380.84,417.0482,371.1288,up,-7.28,45.0,0
RBC,SPY,SHORT,575.22,519.598,627.9906,down,-8.56,44.0,2
TIMA.DE,^GDAXI,SHORT,44.9,47.0986,45.9378,down,-8.84,43.0,0
META,SPY,LONG,646.01,639.5093,591.2602,up,-9.16,42.0,0
CSF.DE,^GDAXI,SHORT,223.8,240.2072,235.7782,down,-9.17,41.0,0
ST5.DE,^GDAXI,SHORT,19.1,21.1113,20.0112,down,-11.09,40.0,0
HLT,SPY,SHORT,321.1738,302.3211,344.8926,down,-11.35,39.0,0
STO3.DE,^GDAXI,SHORT,97.0,109.5722,98.1384,down,-11.61,38.0,0
UBER,SPY,SHORT,72.46,79.9194,67.7541,up,-12.05,37.0,0
MSFT,SPY,SHORT,393.08,437.0352,362.1308,up,-12.79,36.0,0
KGX.DE,^GDAXI,SHORT,40.88,52.7436,39.5207,up,-13.28,35.0,0
AVGO,SPY,SHORT,370.83,362.4813,416.7578,down,-13.49,35.0,2
MBB.DE,^GDAXI,SHORT,170.4,190.4371,179.3045,down,-13.89,34.0,0
CRM,SPY,SHORT,170.77,207.4776,172.9017,down,-14.34,33.0,0
CEG,SPY,SHORT,252.0026,311.6596,270.5774,down,-14.81,32.0,0
