ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,479.81,230.6712,397.6039,up,93.33,100.0,2
U,SPY,LONG,45.45,31.6834,39.6072,up,68.77,99.0,6
CERT,SPY,LONG,8.0,7.3429,7.0566,up,66.8,98.0,0
HPE,SPY,LONG,57.61,31.0252,51.5695,up,66.44,97.0,1
PTGX,SPY,LONG,158.62,101.1945,139.6277,up,52.73,96.0,6
TOST,SPY,LONG,34.32,30.2103,31.281,up,42.66,95.0,0
NTNX,SPY,LONG,65.66,48.9561,60.6622,up,41.31,95.0,2
RDNT,SPY,LONG,75.93,66.2128,67.4438,up,35.56,94.0,0
APH,SPY,LONG,170.87,143.9353,150.619,up,34.56,93.0,1
DLTR,SPY,LONG,129.54,115.1695,120.0955,up,34.07,92.0,1
MU,SPY,SHORT,1011.75,556.3939,1044.515,down,33.73,91.0,0
WIX,SPY,SHORT,73.72,78.8223,59.712,up,30.04,90.0,2
MRNA,SPY,SHORT,64.46,46.6723,65.6268,down,29.45,89.0,0
ASAN,SPY,SHORT,8.83,9.0618,7.5886,up,28.47,88.0,0
ANGO,SPY,LONG,15.67,11.9737,14.3056,up,28.18,87.0,2
LYFT,SPY,LONG,17.22,16.2702,15.4004,up,24.48,86.0,0
RTX,SPY,LONG,221.64,189.2858,209.6177,up,23.2,85.0,1
HOOD,SPY,SHORT,96.25,97.0126,105.7623,down,22.54,85.0,0
AMGN,SPY,LONG,416.9434,345.229,382.2246,up,21.98,84.0,4
PLTR,SPY,LONG,172.55,152.0078,151.0571,up,21.3,83.0,2
ARQT,SPY,SHORT,25.61,25.5909,29.2365,down,20.6,82.0,0
HIMS,SPY,SHORT,28.61,29.1722,34.4624,down,19.67,81.0,1
AIR.DE,^GDAXI,LONG,214.3,188.4831,202.6107,up,19.14,80.0,1
GE,SPY,LONG,369.43,318.1448,351.5456,up,18.72,79.0,0
MTX.DE,^GDAXI,LONG,381.4,343.5996,354.4283,up,17.69,78.0,1
