ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,416.5916,188.6942,363.2541,up,120.41,100.0,0
MU,SPY,LONG,938.38,452.1787,935.6566,up,112.4,99.0,0
AMD,SPY,LONG,516.11,281.9291,456.1043,up,107.84,98.0,0
FTNT,SPY,LONG,158.67,93.9555,140.6186,up,86.46,97.0,2
HIMS,SPY,LONG,36.17,32.5274,29.5844,up,72.88,96.0,1
HPE,SPY,SHORT,43.47,27.2486,50.9157,down,65.33,95.0,1
EXTR,SPY,LONG,30.02,19.4795,28.0867,up,59.73,95.0,0
HOOD,SPY,LONG,112.9,102.3431,94.3086,up,50.75,94.0,2
MRNA,SPY,LONG,79.77,41.6775,65.1829,up,45.3,93.0,6
NTNX,SPY,SIGNAL,53.76,50.89,47.8525,up,35.28,92.0,0
2GB.DE,^GDAXI,SHORT,62.3206,41.7662,72.0707,down,34.84,91.0,3
QCOM,SPY,SHORT,182.97,167.1964,225.7851,down,33.5,90.0,1
NOV.DE,^GDAXI,LONG,39.5431,30.8269,36.3746,up,29.63,89.0,2
U,SPY,SHORT,29.66,32.3129,26.4016,up,27.25,88.0,3
CRNC,SPY,SHORT,10.31,10.0563,12.3547,down,25.4,87.0,1
PTGX,SPY,LONG,140.85,91.1412,119.0602,up,25.07,86.0,8
CSCO,SPY,SHORT,111.79,84.6186,124.0475,down,24.66,85.0,0
CERT,SPY,SHORT,7.17,8.0398,5.99,up,22.28,85.0,7
IBKR,SPY,SHORT,94.57,73.7077,98.2139,down,21.35,84.0,0
ASAN,SPY,SHORT,7.49,9.9442,7.7921,down,20.46,83.0,0
IBM,SPY,LONG,303.9496,270.0507,267.3623,up,19.77,82.0,2
DBX,SPY,LONG,28.85,26.9978,26.3906,up,19.52,81.0,5
ANGO,SPY,LONG,13.07,11.5307,12.0957,up,19.28,80.0,1
QUBT,SPY,SHORT,8.69,11.4532,11.4507,down,17.92,79.0,3
IOS.DE,^GDAXI,LONG,29.86,27.7565,26.8948,up,16.85,78.0,0
ODD,SPY,SHORT,17.52,29.3557,13.9627,up,16.47,77.0,1
RKLB,SPY,SHORT,83.41,76.2831,111.6721,down,14.72,76.0,4
GFT.DE,^GDAXI,SHORT,20.8,18.4796,22.5425,down,14.7,75.0,0
AIR.DE,^GDAXI,LONG,203.9,187.435,193.4133,up,14.63,75.0,2
LUV,SPY,LONG,49.43,40.1265,46.2807,up,13.21,74.0,0
ASML.AS,SPY,LONG,1507.984,1143.1195,1507.3004,up,10.85,73.0,0
RDNT,SPY,LONG,67.83,67.7301,60.4048,up,10.72,72.0,2
ABBV,SPY,LONG,252.8502,218.6035,234.7765,up,10.63,71.0,3
DLTR,SPY,LONG,122.65,110.5038,109.4697,up,9.29,70.0,2
PUM.DE,^GDAXI,LONG,28.03,22.8606,25.8514,up,9.0,69.0,4
KTN.DE,^GDAXI,SHORT,23.0,23.102,22.2344,up,8.85,68.0,0
VERX,SPY,SHORT,13.4,16.9326,11.1199,up,8.64,67.0,0
MTX.DE,^GDAXI,LONG,368.1,345.9674,344.7164,up,7.38,66.0,1
CRSP,SPY,LONG,60.77,55.5811,50.9922,up,7.24,65.0,4
GE,SPY,LONG,366.98,309.4469,349.3488,up,7.13,65.0,0
LYFT,SPY,SHORT,15.44,17.0128,13.6954,up,6.54,64.0,3
TSLA,SPY,SHORT,402.9,418.4837,371.1288,up,6.32,63.0,0
QQQ,SPY,SHORT,709.43,634.7758,749.0883,down,6.14,62.0,1
APH,SPY,LONG,158.61,138.8274,151.6628,up,5.12,61.0,0
GOOG,SPY,SHORT,363.62,316.3625,374.0294,down,4.75,60.0,0
V,SPY,LONG,351.5469,327.3759,332.352,up,4.22,59.0,2
TOST,SPY,SHORT,29.61,31.0279,26.2614,up,3.8,58.0,6
IESC,SPY,SHORT,609.47,499.2326,782.8197,down,3.51,57.0,0
SMCI,SPY,SHORT,26.25,34.8356,34.1644,down,2.79,56.0,3
BC8.DE,^GDAXI,SHORT,32.16,34.7274,33.1563,down,2.75,55.0,0
ARQT,SPY,LONG,27.67,24.5205,23.7662,up,2.36,55.0,4
SZG.DE,^GDAXI,SHORT,51.05,43.2897,51.6767,down,2.25,54.0,0
SPY,SPY,SHORT,747.71,689.7071,759.2122,down,0.0,53.0,0
JBL,SPY,SHORT,321.0106,268.8829,383.4303,down,-0.65,52.0,0
RZLV,SPY,SHORT,2.77,3.2245,2.4232,up,-1.2,51.0,0
KO,SPY,LONG,84.05,73.638,79.2032,up,-2.05,50.0,2
NVDA,SPY,SHORT,196.93,191.0583,214.1479,down,-3.05,49.0,0
MLB1.DE,^GDAXI,SHORT,1587.4,1658.513,1457.311,up,-3.73,48.0,1
HAG.DE,^GDAXI,SHORT,80.92,81.7174,69.2405,up,-3.93,47.0,0
HLT,SPY,LONG,340.9648,299.7369,327.8477,up,-4.44,46.0,2
AMZN,SPY,SHORT,245.98,233.1049,253.4696,down,-4.98,45.0,0
AVGO,SPY,SHORT,370.78,360.4169,416.7578,down,-5.62,45.0,0
MSFT,SPY,SHORT,388.1094,441.7677,393.6438,down,-5.8,44.0,0
AMGN,SPY,LONG,365.9613,330.669,341.5904,up,-5.96,43.0,3
BIDU,SPY,SHORT,112.09,127.7514,102.4673,up,-6.69,42.0,0
UBER,SPY,SHORT,74.33,80.8984,67.5498,up,-6.75,41.0,0
PLTR,SPY,SHORT,134.37,157.5563,114.3408,up,-7.28,40.0,0
RBLX,SPY,SHORT,56.71,77.1162,46.8527,up,-7.46,39.0,2
ORCL,SPY,SHORT,141.1091,196.7961,168.1438,down,-7.54,38.0,5
NEM.DE,^GDAXI,SHORT,58.45,77.3639,58.4836,down,-8.14,37.0,0
SIX2.DE,^GDAXI,SHORT,68.15,68.0032,70.5567,down,-8.63,36.0,0
22UA.DE,^GDAXI,SHORT,82.05,85.1277,78.7838,up,-8.7,35.0,0
HBH.DE,^GDAXI,SHORT,78.3453,80.9313,73.5687,up,-8.72,35.0,0
KGX.DE,^GDAXI,SHORT,43.3,53.379,39.5207,up,-8.73,34.0,3
RBC,SPY,LONG,600.26,511.3761,598.0013,up,-9.39,33.0,0
LRN,SPY,SHORT,91.07,90.6303,94.7871,down,-9.49,32.0,0
CRM,SPY,SHORT,169.52,210.509,172.9017,down,-10.78,31.0,0
RTX,SPY,LONG,200.185,182.589,187.2101,up,-11.0,30.0,5
VRSN,SPY,SHORT,265.9991,255.1111,273.6533,down,-11.14,29.0,0
8RMY.DE,^GDAXI,LONG,10.146,10.0412,9.5461,up,-11.14,29.0,0
META,SPY,SHORT,615.58,643.7376,542.9946,up,-12.2,27.0,0
DE,SPY,LONG,603.61,532.3031,572.2057,up,-12.33,26.0,0
ADN1.DE,^GDAXI,SHORT,52.9,73.3055,54.4331,down,-12.74,25.0,0
DUK,SPY,LONG,127.1025,121.683,121.0037,up,-13.02,25.0,0
WH,SPY,LONG,81.6,78.2773,78.8677,up,-14.99,24.0,0
MBB.DE,^GDAXI,SHORT,169.6,190.3518,186.3508,down,-15.93,23.0,4
TIMA.DE,^GDAXI,SHORT,43.6,47.2212,45.9378,down,-16.02,22.0,0
FIGR,SPY,SHORT,31.045,38.7957,27.0089,up,-16.29,21.0,0
EXLS,SPY,SHORT,27.84,35.2323,28.687,down,-16.74,20.0,0
