ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,441.8,204.4046,363.2541,up,99.83,100.0,2
MU,SPY,SHORT,959.48,494.2258,1110.5031,down,88.24,99.0,0
FTNT,SPY,LONG,155.05,98.1505,145.362,up,78.88,98.0,0
EXTR,SPY,LONG,30.27,20.0349,28.3642,up,67.13,97.0,0
HPE,SPY,SHORT,48.13,28.4992,50.9157,down,66.46,96.0,0
AMD,SPY,LONG,552.33,302.2102,456.1043,up,53.84,95.0,2
PTGX,SPY,LONG,135.44,95.012,122.865,up,30.48,95.0,0
ASML.AS,SPY,LONG,1587.688,1182.862,1507.3004,up,30.36,94.0,1
NTNX,SPY,LONG,53.36,49.7114,49.484,up,26.6,93.0,0
ABBV,SPY,LONG,253.3,220.3075,237.5572,up,23.42,92.0,1
2GB.DE,^GDAXI,SHORT,63.7652,43.4904,72.0707,down,23.01,91.0,0
CSCO,SPY,SHORT,112.21,87.2468,122.0523,down,21.58,90.0,0
AIR.DE,^GDAXI,SIGNAL,208.3,187.6167,189.5442,up,20.72,89.0,0
ANGO,SPY,LONG,13.82,11.6715,12.492,up,19.55,88.0,1
HOOD,SPY,LONG,104.48,101.1571,95.0614,up,18.38,87.0,0
IBKR,SPY,SHORT,93.5,75.2155,98.2139,down,17.2,86.0,0
LUV,SPY,LONG,47.66,41.0298,46.2807,up,16.38,85.0,0
NOV.DE,^GDAXI,LONG,38.7956,31.1502,37.3302,up,15.77,85.0,0
SZG.DE,^GDAXI,LONG,54.0,44.778,46.7824,up,15.74,84.0,0
MTX.DE,^GDAXI,SHORT,340.9,344.7155,365.395,down,15.45,83.0,0
GE,SPY,SHORT,341.19,312.3601,373.4939,down,15.08,82.0,0
ARQT,SPY,LONG,27.9,25.053,25.458,up,14.99,81.0,0
DBX,SPY,LONG,28.69,26.9464,27.8793,up,14.48,80.0,0
QCOM,SPY,SHORT,175.63,167.9114,201.0874,down,13.47,79.0,1
DLTR,SPY,LONG,122.15,112.2002,115.2658,up,12.78,78.0,0
IOS.DE,^GDAXI,LONG,30.54,27.2605,27.8536,up,11.65,77.0,1
PUM.DE,^GDAXI,LONG,28.64,23.2652,26.1904,up,9.83,76.0,0
MRNA,SPY,SHORT,58.07,43.8695,71.175,down,9.51,75.0,0
V,SPY,LONG,352.7647,328.2783,334.7131,up,9.5,75.0,0
GFT.DE,^GDAXI,SHORT,20.6,18.6423,22.226,down,7.81,74.0,0
U,SPY,SHORT,29.27,31.6193,26.8603,up,7.58,73.0,0
IESC,SPY,SHORT,674.2,512.439,733.5088,down,7.45,72.0,0
RTX,SPY,LONG,194.2348,184.4649,187.2101,up,7.34,71.0,0
KTN.DE,^GDAXI,LONG,23.1,22.8607,22.3317,up,5.16,70.0,2
CRNC,SPY,SHORT,9.56,9.923,10.7038,down,4.42,69.0,0
BC8.DE,^GDAXI,SHORT,30.88,34.3141,33.1548,down,4.25,68.0,0
CERT,SPY,SHORT,6.89,7.7538,6.0112,up,4.06,67.0,0
DE,SPY,LONG,607.33,539.5466,572.2057,up,3.26,66.0,2
SIX2.DE,^GDAXI,LONG,71.4,67.4402,64.8649,up,3.01,65.0,0
KO,SPY,LONG,82.2,74.6258,79.2032,up,3.0,65.0,0
ASAN,SPY,SHORT,6.88,9.5878,7.7921,down,2.71,64.0,4
AMGN,SPY,LONG,363.9232,335.4416,341.5904,up,2.08,63.0,1
QQQ,SPY,SHORT,705.35,641.0641,740.306,down,1.41,62.0,0
APH,SPY,SHORT,157.51,140.6886,169.6599,down,0.41,61.0,0
HAG.DE,^GDAXI,SHORT,77.28,80.1093,69.2405,up,0.23,60.0,1
SMCI,SPY,SHORT,30.56,33.6986,23.2204,up,0.13,59.0,0
SPY,SPY,SHORT,747.41,694.692,759.2122,down,0.0,58.0,0
MLB1.DE,^GDAXI,SHORT,1585.2,1634.7465,1503.5472,up,-0.9,57.0,0
HIMS,SPY,LONG,31.68,31.2873,29.5844,up,-1.29,56.0,0
LYFT,SPY,SHORT,14.66,16.6462,14.2338,up,-2.01,55.0,0
RDNT,SPY,SHORT,59.22,66.9895,69.3359,down,-2.2,55.0,0
ODD,SPY,SHORT,16.38,26.9144,13.9627,up,-2.97,54.0,0
