ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,393.7394,160.4655,363.2541,up,159.1,100.0,1
HPE,SPY,LONG,49.0565,24.8902,47.3121,up,121.72,99.0,1
AMD,SPY,LONG,466.38,245.9735,454.6619,up,118.34,98.0,0
MU,SPY,SHORT,863.8771,360.6606,1108.7238,down,97.1,97.0,0
EXTR,SPY,LONG,28.02,18.5538,25.2423,up,82.96,96.0,0
2GB.DE,^GDAXI,LONG,67.5015,38.3344,59.7552,up,82.83,95.0,0
FTNT,SPY,LONG,144.68,86.9388,129.8564,up,63.96,95.0,2
IESC,SPY,LONG,720.72,463.7091,607.0008,up,53.66,94.0,2
QCOM,SPY,LONG,215.94,162.7618,199.5047,up,52.25,93.0,0
NOV.DE,^GDAXI,LONG,34.3057,30.4008,32.5013,up,49.71,92.0,0
CSCO,SPY,LONG,121.1866,79.4409,114.2561,up,47.24,91.0,0
RKLB,SPY,SHORT,110.08,70.9956,147.6021,down,43.62,90.0,0
CRNC,SPY,LONG,10.61,10.0272,10.206,up,42.01,89.0,0
U,SPY,SHORT,29.17,33.6718,26.4016,up,36.21,88.0,0
NTNX,SPY,LONG,53.64,53.1376,47.0909,up,30.92,87.0,2
JBL,SPY,LONG,353.1637,253.1113,337.6798,up,28.96,86.0,0
IOS.DE,^GDAXI,LONG,30.78,28.9293,26.9295,up,28.52,85.0,4
SZG.DE,^GDAXI,LONG,62.8,40.0109,57.8481,up,28.43,85.0,0
ORCL,SPY,LONG,212.9392,205.0801,208.9869,up,22.1,84.0,0
SMCI,SPY,LONG,41.64,36.0172,40.5386,up,21.63,83.0,0
QUBT,SPY,SHORT,9.955,12.0365,12.5322,down,21.29,82.0,3
PUM.DE,^GDAXI,LONG,26.74,22.0669,25.8514,up,18.3,81.0,0
GFT.DE,^GDAXI,LONG,21.7587,17.9966,20.3538,up,16.59,80.0,0
VRSN,SPY,LONG,294.0568,256.2214,284.3026,up,16.09,79.0,0
IBKR,SPY,LONG,84.4,70.7845,79.7133,up,14.19,78.0,0
ASML.AS,SPY,LONG,1460.4412,1042.277,1322.5929,up,12.91,77.0,2
GOOG,SPY,SHORT,365.54,303.2832,387.5447,down,9.24,76.0,0
22UA.DE,^GDAXI,SHORT,77.05,86.0702,84.1971,down,8.61,75.0,1
LRN,SPY,LONG,100.01,97.7305,91.876,up,7.98,75.0,0
QQQ,SPY,SHORT,704.286,620.1702,754.6605,down,6.82,74.0,0
AMZN,SPY,SHORT,246.03,232.1283,273.2251,down,6.35,73.0,0
HLT,SPY,LONG,342.9439,293.0156,320.392,up,6.28,72.0,1
IBM,SPY,LONG,282.8112,267.1026,275.4044,up,5.95,71.0,0
SIX2.DE,^GDAXI,SHORT,68.0426,69.3764,67.2613,up,4.03,70.0,0
AVGO,SPY,SHORT,385.1205,354.3609,473.0172,down,3.82,69.0,0
DUE.DE,^GDAXI,SHORT,20.3,20.3515,22.1706,down,2.12,68.0,1
ASAN,SPY,SHORT,7.84,10.6198,6.9724,up,1.86,67.0,0
NVDA,SPY,SHORT,205.1,188.3446,233.8239,down,1.03,66.0,0
WH,SPY,SHORT,81.5161,78.498,84.4192,down,1.03,66.0,0
SPY,SPY,SHORT,735.6548,679.8133,765.4424,down,0.0,65.0,0
AIR.DE,^GDAXI,SHORT,179.0,186.4935,185.7085,down,-0.8,64.0,0
HAG.DE,^GDAXI,SHORT,78.78,83.5527,76.6952,up,-1.08,63.0,0
ANGO,SPY,LONG,11.94,11.3026,10.764,up,-1.2,62.0,2
KTN.DE,^GDAXI,SHORT,23.12,23.252,21.7731,up,-2.78,61.0,0
DBX,SPY,LONG,27.52,27.2611,24.7978,up,-2.97,60.0,0
RBC,SPY,SHORT,590.09,488.2369,614.3977,down,-3.89,59.0,0
BC8.DE,^GDAXI,SHORT,31.5613,35.4534,29.9279,up,-4.1,58.0,0
V,SPY,SHORT,322.97,328.3248,311.813,up,-4.4,57.0,0
HOOD,SPY,SHORT,82.47,103.2931,73.9926,up,-4.55,56.0,0
CRSP,SPY,SHORT,51.84,55.6127,47.4564,up,-5.52,55.0,0
APH,SPY,LONG,138.6009,133.9886,130.2739,up,-5.97,55.0,0
MSFT,SPY,SHORT,415.8871,453.5851,461.4193,down,-6.21,54.0,0
KO,SPY,SHORT,78.9701,72.1546,81.5211,down,-6.26,53.0,0
LYFT,SPY,SHORT,13.65,17.3444,12.8523,up,-6.8,52.0,0
NEM.DE,^GDAXI,SHORT,64.45,83.5948,58.5108,up,-7.5,51.0,0
HIMS,SPY,SHORT,26.19,33.9752,28.4183,down,-8.15,50.0,0
PTGX,SPY,SHORT,97.38,85.2197,106.7121,down,-8.42,49.0,0
GE,SPY,LONG,327.5916,301.5289,297.6005,up,-8.47,48.0,1
ABBV,SPY,LONG,225.624,215.7049,209.7253,up,-8.72,47.0,5
CSF.DE,^GDAXI,SHORT,231.5,,240.7683,down,-9.36,46.0,0
HBH.DE,^GDAXI,SHORT,74.2729,83.5604,79.4361,down,-9.54,45.0,0
LUV,SPY,LONG,41.3594,38.475,38.4944,up,-9.66,45.0,0
TIMA.DE,^GDAXI,SHORT,45.0,47.1886,47.5022,down,-10.26,44.0,2
MLB1.DE,^GDAXI,SHORT,1410.4,1722.883,1496.3559,down,-10.34,43.0,1
DE,SPY,LONG,581.9317,519.8817,541.8873,up,-10.85,42.0,0
ST5.DE,^GDAXI,SHORT,19.8875,21.8643,21.7062,down,-11.93,41.0,3
BIDU,SPY,SHORT,121.66,126.6566,145.2758,down,-12.14,40.0,3
