ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,453.77,221.0837,364.7623,up,85.2,100.0,2
HPE,SPY,LONG,53.22,30.0019,44.1246,up,71.66,99.0,0
CERT,SPY,LONG,8.2,7.4751,7.0566,up,56.08,98.0,3
U,SPY,LONG,43.0,31.4443,35.5617,up,55.19,97.0,8
ASAN,SPY,LONG,9.26,9.2208,7.391,up,49.05,96.0,3
TOST,SPY,LONG,34.48,30.3164,31.0024,up,43.22,95.0,5
DLTR,SPY,LONG,130.9,114.3189,118.2561,up,41.97,95.0,3
PTGX,SPY,LONG,145.87,98.8728,128.4577,up,40.92,94.0,4
ANGO,SPY,LONG,15.69,11.8653,13.8355,up,38.92,93.0,6
NTNX,SPY,LONG,62.67,49.0692,55.232,up,36.13,92.0,5
FTNT,SPY,LONG,159.64,102.5304,145.6367,up,35.17,91.0,0
DBX,SPY,LONG,34.81,27.1595,30.8333,up,29.85,90.0,4
APH,SPY,LONG,169.18,142.8492,149.3414,up,27.48,89.0,0
MTX.DE,^GDAXI,LONG,370.8,343.5875,344.0934,up,25.88,88.0,0
RDNT,SPY,LONG,72.385,66.3511,60.9973,up,24.24,87.0,0
PLTR,SPY,LONG,172.01,152.2782,137.1857,up,21.46,86.0,6
HIMS,SPY,SHORT,31.59,29.7305,35.2184,down,21.19,85.0,0
LYFT,SPY,LONG,17.46,16.3672,14.9056,up,20.77,85.0,1
BC8.DE,^GDAXI,LONG,37.6,34.3278,34.2822,up,20.47,84.0,0
RTX,SPY,LONG,222.2915,187.8785,206.4058,up,20.17,83.0,6
GE,SPY,LONG,370.08,316.3039,351.5456,up,19.55,82.0,0
AMGN,SPY,LONG,408.5623,341.388,368.7942,up,18.1,81.0,5
MSFT,SPY,LONG,499.0505,431.0194,451.6756,up,17.86,80.0,7
CSCO,SPY,SHORT,121.43,90.1612,122.0523,down,17.73,79.0,0
AIR.DE,^GDAXI,LONG,213.7,188.184,199.3731,up,17.58,78.0,1
ARQT,SPY,SHORT,25.29,25.4367,29.3944,down,17.21,77.0,0
LUV,SPY,SHORT,47.05,41.8649,50.3163,down,14.67,76.0,0
ABBV,SPY,SHORT,246.04,222.039,264.8603,down,14.19,75.0,0
HOOD,SPY,SHORT,93.29,98.2641,105.7623,down,14.17,75.0,0
HAG.DE,^GDAXI,LONG,90.32,79.0313,79.9279,up,12.76,74.0,5
CSF.DE,^GDAXI,LONG,264.8,239.3788,247.8307,up,12.5,73.0,5
EXLS,SPY,LONG,34.89,33.8312,30.4548,up,12.33,72.0,4
ASML.AS,SPY,SHORT,1499.0,1219.0252,1614.6837,down,9.98,71.0,0
8RMY.DE,^GDAXI,LONG,10.722,9.8876,10.1285,up,9.84,70.0,5
MU,SPY,SHORT,877.57,534.86,1044.515,down,9.47,69.0,0
LMT,SPY,LONG,587.95,542.7708,536.6119,up,8.57,68.0,3
CRM,SPY,SHORT,192.74,202.8573,167.744,up,7.78,67.0,3
MLB1.DE,^GDAXI,SHORT,1574.4,1621.3525,1677.1305,down,7.44,66.0,0
