ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,405.37,213.5406,363.2541,up,84.22,100.0,0
FTNT,SPY,LONG,161.95,100.544,145.362,up,76.62,99.0,4
HPE,SPY,SHORT,47.9,29.2773,50.9157,down,56.44,98.0,0
PTGX,SPY,LONG,136.64,97.3084,122.865,up,34.25,97.0,0
NTNX,SPY,LONG,59.01,49.2301,52.922,up,32.39,96.0,4
DLTR,SPY,LONG,127.21,113.4771,115.4685,up,32.3,95.0,1
ANGO,SPY,LONG,14.79,11.7759,13.0317,up,31.47,95.0,5
AMD,SPY,SHORT,476.15,311.8235,557.3343,down,30.55,94.0,0
CERT,SPY,LONG,8.1,7.5776,6.8668,up,27.59,93.0,4
MU,SPY,SHORT,823.03,517.9365,1044.515,down,25.1,92.0,1
DBX,SPY,LONG,32.56,27.0206,29.5305,up,24.66,91.0,3
EXTR,SPY,LONG,30.14,20.3689,28.3642,up,23.64,90.0,0
GE,SPY,SHORT,360.07,314.4291,373.4939,down,22.28,89.0,0
RTX,SPY,LONG,214.5074,186.2835,199.9059,up,21.54,88.0,4
CSCO,SPY,SHORT,115.99,88.8694,122.0523,down,19.98,87.0,0
ABBV,SPY,LONG,250.94,221.4931,247.0803,up,19.14,86.0,0
AMGN,SPY,LONG,382.9222,338.7279,359.5407,up,14.26,85.0,2
APH,SPY,SHORT,160.7,141.7433,163.322,down,14.26,85.0,0
MRNA,SPY,SHORT,54.82,44.8563,65.6268,down,13.88,84.0,1
MTX.DE,^GDAXI,SHORT,361.8,343.5112,365.395,down,13.32,83.0,0
BC8.DE,^GDAXI,LONG,36.1,34.2675,33.3154,up,12.66,82.0,0
U,SPY,LONG,31.71,31.401,27.5033,up,12.5,81.0,1
LMT,SPY,LONG,582.74,540.4057,532.4543,up,11.77,80.0,4
ARQT,SPY,LONG,26.86,25.3064,25.458,up,11.21,79.0,0
V,SPY,LONG,365.4511,328.8549,343.9444,up,10.45,78.0,3
LUV,SPY,SHORT,44.97,41.5024,50.3163,down,10.26,77.0,0
MLB1.DE,^GDAXI,SHORT,1622.6,1626.0505,1510.1224,up,10.12,76.0,0
MSFT,SPY,LONG,463.8468,431.4438,404.9909,up,9.73,75.0,7
ASAN,SPY,SHORT,8.32,9.3542,6.5997,up,9.72,75.0,0
TOST,SPY,LONG,32.27,30.4013,28.5856,up,9.59,74.0,3
IESC,SPY,SIGNAL,744.54,520.0662,528.2173,up,9.09,73.0,0
LYFT,SPY,SHORT,15.86,16.4491,16.1984,down,9.08,72.0,0
HOOD,SPY,SHORT,86.56,99.2921,105.7623,down,8.89,71.0,1
KO,SPY,LONG,87.59,75.3479,83.2182,up,8.85,70.0,3
IOS.DE,^GDAXI,LONG,31.42,27.2136,30.2531,up,8.29,69.0,0
