ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,437.5,207.3743,363.2541,up,108.71,100.0,2
MU,SPY,SHORT,920.95,501.8895,1110.5031,down,78.56,99.0,0
FTNT,SPY,LONG,152.37,98.8092,145.362,up,73.66,98.0,0
EXTR,SPY,LONG,29.49,20.1287,28.3642,up,68.87,97.0,0
HPE,SPY,SHORT,47.69,28.7335,50.9157,down,67.03,96.0,0
AMD,SPY,LONG,521.95,305.6765,456.1043,up,57.39,95.0,0
PTGX,SPY,LONG,136.11,95.7249,122.865,up,30.39,95.0,0
NTNX,SPY,LONG,55.04,49.4969,49.484,up,29.17,94.0,0
ABBV,SPY,LONG,259.36,220.6382,241.1751,up,28.03,93.0,4
CSCO,SPY,SHORT,114.17,87.7071,122.0523,down,27.84,92.0,0
ASML.AS,SPY,LONG,1561.12,1190.1014,1507.3004,up,24.78,91.0,0
ANGO,SPY,LONG,13.59,11.6922,12.492,up,19.68,90.0,0
DLTR,SPY,LONG,120.45,112.5024,115.2658,up,18.54,89.0,0
GE,SPY,SHORT,353.73,312.9091,373.4939,down,18.37,88.0,0
CERT,SPY,SHORT,7.51,7.6943,6.2584,up,18.22,87.0,5
DBX,SPY,LONG,29.19,26.9407,27.8793,up,17.58,86.0,0
RTX,SPY,LONG,212.0854,184.9153,193.6957,up,17.53,85.0,7
MTX.DE,^GDAXI,SHORT,342.6,344.2493,365.395,down,15.64,85.0,0
NOV.DE,^GDAXI,LONG,38.9632,31.1914,37.3302,up,15.43,84.0,0
2GB.DE,^GDAXI,SHORT,62.0217,43.7868,72.0707,down,15.25,83.0,2
IOS.DE,^GDAXI,LONG,30.94,27.2263,27.8536,up,15.22,82.0,2
LUV,SPY,SHORT,45.08,41.1574,50.652,down,15.02,81.0,0
IBKR,SPY,SHORT,91.74,75.4355,98.2139,down,14.41,80.0,1
AIR.DE,^GDAXI,LONG,205.8,187.6876,189.5442,up,14.39,79.0,0
ARQT,SPY,LONG,27.35,25.128,25.458,up,13.34,78.0,0
SZG.DE,^GDAXI,LONG,55.05,44.9859,46.7824,up,11.62,77.0,0
HOOD,SPY,SHORT,94.91,100.6749,116.3773,down,11.55,76.0,0
V,SPY,LONG,355.0804,328.3405,334.7131,up,11.16,75.0,0
GFT.DE,^GDAXI,SHORT,20.7,18.669,22.226,down,10.74,75.0,0
MRNA,SPY,SHORT,54.07,44.1448,67.3436,down,10.61,74.0,3
LMT,SPY,LONG,582.6,538.4341,522.9612,up,10.37,73.0,7
BC8.DE,^GDAXI,SHORT,31.64,34.253,33.1548,down,8.11,72.0,0
QCOM,SPY,SHORT,166.97,167.9382,195.5848,down,7.63,71.0,4
