ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,394.9174,166.9416,363.2541,up,153.48,100.0,1
AMD,SPY,SHORT,511.57,253.9316,565.8813,down,144.03,99.0,0
HPE,SPY,SHORT,48.0295,25.5391,56.2529,down,112.73,98.0,0
MU,SPY,SHORT,981.459,381.5163,1108.7238,down,100.23,97.0,0
EXTR,SPY,LONG,31.11,18.7872,26.5029,up,95.92,96.0,4
2GB.DE,^GDAXI,SHORT,63.2671,38.9491,72.0707,down,83.5,95.0,0
FTNT,SPY,LONG,146.3,88.5338,129.8564,up,62.99,95.0,2
IESC,SPY,LONG,749.83,473.2981,620.2636,up,57.36,94.0,2
QCOM,SPY,SHORT,211.72,164.0722,251.372,down,50.42,93.0,0
NOV.DE,^GDAXI,SHORT,34.7497,30.4303,36.184,down,49.41,92.0,0
SZG.DE,^GDAXI,SHORT,58.85,40.8914,64.4287,down,46.85,91.0,0
CSCO,SPY,LONG,120.6487,80.8101,114.2561,up,44.45,90.0,0
JBL,SPY,LONG,384.7369,257.1365,337.6798,up,36.35,89.0,3
CRNC,SPY,SHORT,10.62,10.0245,13.1059,down,36.29,88.0,0
RKLB,SPY,SHORT,102.39,72.6064,142.6637,down,34.92,87.0,0
ASML.AS,SPY,LONG,1627.6399,1064.7253,1408.8961,up,25.93,86.0,7
U,SPY,SHORT,27.24,33.4052,26.4016,up,25.75,85.0,0
QUBT,SPY,SHORT,9.93,11.9052,12.5322,down,24.52,85.0,1
PUM.DE,^GDAXI,LONG,28.05,22.2637,25.8514,up,23.0,84.0,2
IBKR,SPY,LONG,90.81,71.4185,80.6385,up,20.35,83.0,4
GFT.DE,^GDAXI,LONG,21.3197,18.0964,20.3538,up,19.22,82.0,0
IOS.DE,^GDAXI,SHORT,26.64,28.662,30.2552,down,18.11,81.0,0
SIX2.DE,^GDAXI,LONG,71.3944,69.0328,67.2613,up,16.24,80.0,1
HOOD,SPY,SHORT,93.19,102.8076,74.4936,up,11.97,79.0,1
QQQ,SPY,SHORT,720.5482,623.7787,749.0883,down,8.96,78.0,0
AVGO,SPY,SHORT,381.4663,356.7065,449.357,down,8.74,77.0,0
ORCL,SPY,SHORT,183.4916,204.1937,225.1586,down,8.4,76.0,2
APH,SPY,LONG,153.5683,135.035,132.9574,up,8.12,75.0,2
NTNX,SPY,SHORT,49.31,52.6793,47.0909,up,6.46,75.0,0
