ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,467.27,216.5288,363.2541,up,97.55,100.0,4
HPE,SPY,SIGNAL,52.39,29.544,42.8328,up,71.21,99.0,0
FTNT,SPY,LONG,168.29,101.3682,145.362,up,50.16,98.0,6
MU,SPY,SHORT,892.67,524.6542,1044.515,down,32.37,97.0,0
EXTR,SPY,LONG,32.34,20.4785,28.3642,up,31.79,96.0,5
PTGX,SPY,LONG,135.81,97.8757,122.865,up,31.68,95.0,0
DBX,SPY,LONG,34.51,27.0716,29.6896,up,31.62,95.0,5
DLTR,SPY,LONG,130.71,113.8197,118.0457,up,29.38,94.0,4
ANGO,SPY,LONG,15.19,11.8115,13.4187,up,29.08,93.0,6
NTNX,SPY,LONG,61.5,49.1637,54.5516,up,28.19,92.0,6
CSCO,SPY,SHORT,121.74,89.3764,122.0523,down,26.89,91.0,0
U,SPY,LONG,35.22,31.3741,28.7935,up,26.06,90.0,5
AMD,SPY,SHORT,518.58,314.5561,557.3343,down,21.25,89.0,0
ARQT,SPY,LONG,26.03,25.356,25.458,up,20.29,88.0,0
APH,SPY,LONG,171.33,142.1822,144.6821,up,19.89,87.0,0
HIMS,SPY,SHORT,32.16,30.0674,35.2184,down,19.68,86.0,0
GE,SPY,SIGNAL,377.28,315.1707,342.7134,up,19.12,85.0,0
ASAN,SPY,SHORT,8.76,9.2994,6.8409,up,18.55,85.0,0
MTX.DE,^GDAXI,LONG,369.7,343.478,336.5917,up,18.1,84.0,0
RTX,SPY,LONG,217.2084,186.8903,199.9059,up,18.09,83.0,5
CERT,SPY,LONG,7.8,7.5381,7.0566,up,17.91,82.0,0
HOOD,SPY,SHORT,93.51,98.8659,105.7623,down,16.88,81.0,0
ABBV,SPY,SHORT,243.8,221.7214,265.6845,down,15.42,80.0,0
RDNT,SPY,SIGNAL,69.22,66.4768,57.9918,up,14.68,79.0,0
BC8.DE,^GDAXI,LONG,37.26,34.2936,33.3154,up,14.67,78.0,0
AIR.DE,^GDAXI,LONG,214.2,187.983,195.5548,up,14.63,77.0,1
HAG.DE,^GDAXI,LONG,87.44,79.1192,76.2457,up,13.71,76.0,4
AMGN,SPY,LONG,387.7539,339.674,359.5407,up,13.7,75.0,3
MLB1.DE,^GDAXI,LONG,1625.6,1624.3095,1528.4629,up,13.51,75.0,0
PLTR,SPY,LONG,162.66,152.5357,125.6386,up,12.98,74.0,7
LUV,SPY,SHORT,48.7,41.6507,50.3163,down,12.47,73.0,0
LYFT,SPY,LONG,16.73,16.414,14.575,up,12.44,72.0,0
ASML.AS,SPY,SHORT,1472.6,1209.8832,1614.6837,down,11.72,71.0,0
MRNA,SPY,SHORT,56.99,45.1471,65.6268,down,11.7,70.0,0
MSFT,SPY,LONG,491.884,431.2438,432.7496,up,11.67,69.0,8
LMT,SPY,LONG,589.33,541.3571,536.4264,up,10.06,68.0,5
V,SPY,LONG,368.9047,329.0816,343.9444,up,9.57,67.0,4
TOST,SPY,LONG,33.81,30.3593,29.0226,up,9.37,66.0,5
GFT.DE,^GDAXI,LONG,23.7,18.8729,20.7776,up,9.1,65.0,0
IESC,SPY,LONG,760.36,523.5603,559.3452,up,8.53,65.0,0
8RMY.DE,^GDAXI,LONG,10.622,9.8872,9.9248,up,5.8,64.0,4
CSF.DE,^GDAXI,LONG,261.1,239.1341,239.5099,up,5.74,63.0,4
KO,SPY,LONG,86.56,75.5555,83.2182,up,5.37,62.0,1
RZLV,SPY,SHORT,2.64,2.8601,2.7007,down,4.76,61.0,0
EXLS,SPY,LONG,34.39,33.9187,29.9402,up,4.03,60.0,4
HBH.DE,^GDAXI,LONG,84.5,79.7294,80.0436,up,2.78,59.0,3
PUM.DE,^GDAXI,LONG,27.22,23.5572,26.3844,up,2.31,58.0,0
VRSN,SPY,LONG,298.3243,255.5442,264.5153,up,2.03,57.0,5
ESLT,SPY,LONG,849.27,717.3878,764.1944,up,1.26,56.0,3
DE,SPY,LONG,617.37,546.9687,583.9641,up,0.91,55.0,1
2GB.DE,^GDAXI,SHORT,57.5382,44.5612,66.7818,down,0.3,55.0,1
IBKR,SPY,SHORT,88.63,76.1017,98.2139,down,0.28,54.0,1
ADN1.DE,^GDAXI,SHORT,61.0,69.1271,53.1809,up,0.19,53.0,3
SPY,SPY,SIGNAL,771.33,698.4713,736.8239,up,0.0,52.0,0
QQQ,SPY,SIGNAL,723.85,644.9715,667.0709,up,-1.43,51.0,0
SIX2.DE,^GDAXI,LONG,70.65,67.2665,66.3351,up,-2.46,50.0,0
ODD,SPY,SHORT,15.31,25.1495,13.9627,up,-2.88,49.0,0
CRM,SPY,SHORT,190.99,203.6869,163.4423,up,-2.95,48.0,4
IBM,SPY,SHORT,233.4752,265.8828,242.6433,down,-3.3,47.0,0
AMZN,SPY,LONG,277.42,235.6596,249.9177,up,-3.4,46.0,0
AVGO,SPY,SIGNAL,418.16,365.4888,357.7956,up,-4.19,45.0,0
CRSP,SPY,SHORT,53.07,53.8492,54.2048,down,-4.47,45.0,0
RHM.DE,^GDAXI,SHORT,1200.8,1453.3322,1056.9517,up,-5.01,44.0,0
IOS.DE,^GDAXI,LONG,32.04,27.1956,30.2531,up,-5.22,43.0,0
DUK,SPY,LONG,123.1869,122.2651,122.5749,up,-5.33,42.0,0
NVDA,SPY,SHORT,211.94,193.2239,214.1479,down,-5.38,41.0,0
SZG.DE,^GDAXI,LONG,54.95,45.7401,46.7824,up,-5.39,40.0,2
NOC,SPY,SHORT,551.55,602.3447,506.9855,up,-5.4,39.0,3
NOV.DE,^GDAXI,SHORT,37.2778,31.3686,41.0636,down,-5.64,38.0,0
STO3.DE,^GDAXI,SHORT,98.8,108.053,91.0575,up,-5.87,37.0,0
22UA.DE,^GDAXI,SHORT,81.0,84.4425,84.5186,down,-7.24,36.0,0
HLT,SPY,SHORT,311.928,306.0017,339.4089,down,-8.23,35.0,4
JBL,SPY,SHORT,339.9265,279.2855,340.2171,down,-8.43,35.0,0
QUBT,SPY,SHORT,9.23,10.1871,9.3209,down,-9.86,34.0,0
GMED,SPY,SHORT,81.51,84.1777,83.9028,down,-9.89,33.0,0
META,SPY,SHORT,587.94,632.3626,611.3743,down,-10.3,32.0,0
MCD,SPY,SHORT,268.34,297.4252,279.196,down,-10.48,31.0,0
LHX,SPY,SHORT,285.3,314.3073,305.6355,down,-10.59,30.0,0
GOOG,SPY,LONG,375.35,326.4661,332.7636,up,-10.69,29.0,0
MBB.DE,^GDAXI,LONG,191.6,191.1977,176.641,up,-10.84,28.0,0
RKLB,SPY,SHORT,74.48,77.8162,80.0087,down,-10.92,27.0,0
SMCI,SPY,SHORT,31.69,32.5424,24.2094,up,-11.45,26.0,2
UBER,SPY,SHORT,71.99,78.35,74.6115,down,-11.88,25.0,0
RBC,SPY,SHORT,565.96,531.3404,614.2193,down,-13.16,25.0,0
BABA,SPY,SHORT,128.99,139.603,115.2719,up,-13.38,24.0,7
NEM.DE,^GDAXI,SHORT,57.25,72.3737,67.9453,down,-13.58,23.0,0
B,SPY,SHORT,38.21,41.0329,38.948,down,-14.0,22.0,0
WH,SPY,SHORT,76.03,78.0216,81.4952,down,-14.53,21.0,0
CRNC,SPY,SHORT,9.39,9.7666,10.1135,down,-16.62,20.0,0
ST5.DE,^GDAXI,SHORT,18.62,20.8968,19.7906,down,-17.81,19.0,1
LRN,SPY,SHORT,80.45,84.8805,92.6732,down,-17.94,18.0,0
KTN.DE,^GDAXI,SHORT,20.6,22.7088,22.8325,down,-18.31,17.0,3
TIMA.DE,^GDAXI,SHORT,43.3,46.8507,45.9378,down,-18.58,16.0,2
