ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
2GB.DE,^GDAXI,SHORT,70.5901,39.716,72.0707,down,107.29,100.0,0
NOV.DE,^GDAXI,SHORT,35.461,30.4761,36.184,down,53.25,96.0,0
SZG.DE,^GDAXI,SHORT,51.65,41.7232,60.8717,down,28.59,93.0,3
ASML.AS,SPY,LONG,1655.806,1089.9827,1491.8164,up,23.65,89.0,4
PUM.DE,^GDAXI,LONG,28.23,22.446,25.8514,up,23.42,85.0,1
GFT.DE,^GDAXI,LONG,20.783,18.2147,20.3538,up,17.02,81.0,0
SIX2.DE,^GDAXI,LONG,73.15,68.8237,67.5736,up,13.52,78.0,3
KTN.DE,^GDAXI,LONG,23.52,23.2067,22.0856,up,11.3,74.0,1
BC8.DE,^GDAXI,SHORT,30.5,35.0348,33.3237,down,7.61,70.0,0
AIR.DE,^GDAXI,LONG,189.48,186.7591,175.4027,up,6.9,67.0,0
DUE.DE,^GDAXI,SHORT,19.62,20.2697,20.9237,down,-0.59,63.0,0
MTX.DE,^GDAXI,SHORT,332.8,345.7507,302.0302,up,-2.49,59.0,3
IOS.DE,^GDAXI,SHORT,27.0,28.3946,30.2552,down,-4.29,56.0,0
22UA.DE,^GDAXI,SHORT,79.35,85.4352,81.8436,down,-4.86,52.0,0
MLB1.DE,^GDAXI,SHORT,1423.8,1690.016,1492.3969,down,-8.88,48.0,0
HAG.DE,^GDAXI,SHORT,72.46,82.9614,82.8866,down,-8.97,44.0,0
HBH.DE,^GDAXI,SHORT,77.3757,82.2432,78.7363,down,-9.49,41.0,0
CSF.DE,^GDAXI,SHORT,236.1,,240.7683,down,-10.54,37.0,0
8RMY.DE,^GDAXI,SHORT,9.701,10.1397,10.1808,down,-13.13,33.0,0
MBB.DE,^GDAXI,SHORT,178.2,189.5904,186.3508,down,-14.52,30.0,0
KGX.DE,^GDAXI,SHORT,41.85,54.3097,37.3748,up,-14.6,26.0,0
STO3.DE,^GDAXI,SHORT,97.7,111.965,101.5058,down,-15.6,22.0,0
TIMA.DE,^GDAXI,SHORT,44.8,47.2165,47.5022,down,-16.24,19.0,0
ADN1.DE,^GDAXI,SHORT,50.3,75.837,57.8492,down,-19.7,15.0,2
ST5.DE,^GDAXI,SHORT,18.72,21.5753,20.0819,down,-23.19,11.0,5
RHM.DE,^GDAXI,SHORT,1202.6,1584.1615,1314.2272,down,-27.83,7.0,0
NEM.DE,^GDAXI,SHORT,53.3,80.6061,62.0044,down,-28.44,4.0,1
