ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,381.1502,163.1064,363.2541,up,140.99,100.0,0
AMD,SPY,LONG,475.51,249.1582,454.6619,up,134.29,99.0,0
HPE,SPY,LONG,48.1292,25.1695,47.3121,up,113.53,98.0,0
MU,SPY,SHORT,935.7461,368.9219,1108.7238,down,108.13,97.0,0
EXTR,SPY,LONG,28.73,18.646,25.2423,up,86.68,96.0,1
2GB.DE,^GDAXI,LONG,62.3206,38.6024,59.7552,up,73.87,95.0,0
FTNT,SPY,LONG,138.39,87.5592,129.8564,up,54.26,95.0,0
IESC,SPY,LONG,726.31,467.7686,607.0008,up,52.45,94.0,2
QCOM,SPY,LONG,205.42,163.3619,199.5047,up,47.23,93.0,0
RKLB,SPY,SHORT,108.23,71.6939,146.288,down,46.62,92.0,0
CSCO,SPY,LONG,119.9114,80.0018,114.2561,up,42.9,91.0,0
NOV.DE,^GDAXI,SHORT,32.4301,30.4067,36.184,down,40.33,90.0,0
U,SPY,SHORT,28.44,33.5974,26.4016,up,34.78,89.0,0
JBL,SPY,LONG,362.3017,254.6989,337.6798,up,33.02,88.0,0
CRNC,SPY,SHORT,9.91,10.0271,13.4888,down,29.58,87.0,0
SZG.DE,^GDAXI,SHORT,56.85,40.3856,68.9126,down,24.45,86.0,0
ORCL,SPY,SHORT,205.0965,204.8463,251.0541,down,21.56,85.0,0
SMCI,SPY,LONG,40.64,36.0158,40.5386,up,20.57,85.0,0
PUM.DE,^GDAXI,LONG,27.0,22.1556,25.8514,up,20.56,84.0,0
IBKR,SPY,LONG,86.33,71.0311,79.7133,up,18.97,83.0,0
QUBT,SPY,SHORT,9.505,11.9897,12.5322,down,18.61,82.0,3
IOS.DE,^GDAXI,SHORT,27.52,28.8372,26.9295,up,17.66,81.0,0
NTNX,SPY,SHORT,50.74,52.9627,47.0909,up,17.55,80.0,0
ASML.AS,SPY,LONG,1506.5857,1050.9513,1359.9883,up,17.11,79.0,4
GFT.DE,^GDAXI,LONG,20.9782,18.0392,20.3538,up,16.27,78.0,0
AVGO,SPY,SHORT,391.5403,355.4157,465.5787,down,10.39,77.0,0
GOOG,SPY,SHORT,362.29,304.9021,387.5447,down,8.66,76.0,0
SIX2.DE,^GDAXI,SHORT,68.9045,69.2385,67.2613,up,7.8,75.0,0
QQQ,SPY,SHORT,707.053,621.6631,752.19,down,7.78,75.0,0
VRSN,SPY,SHORT,283.0591,256.3647,308.6314,down,7.71,74.0,0
AMZN,SPY,SHORT,244.19,232.3466,267.9977,down,5.99,73.0,0
HLT,SPY,LONG,342.4141,293.7414,320.8913,up,5.96,72.0,1
HIMS,SPY,SHORT,28.98,33.8193,22.4036,up,5.4,71.0,0
ANGO,SPY,LONG,12.34,11.333,10.8314,up,4.82,70.0,4
NVDA,SPY,SHORT,208.19,188.6792,232.2759,down,4.04,69.0,0
APH,SPY,LONG,153.8379,134.3948,130.2739,up,3.68,68.0,3
LRN,SPY,LONG,97.13,97.0443,91.876,up,3.55,67.0,0
