ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MRNA,SPY,LONG,142.77,51.1966,102.007,up,211.04,100.0,0
PTGX,SPY,LONG,149.5,104.1984,142.4654,up,58.58,99.0,0
ODD,SPY,SHORT,14.99,22.3805,15.1019,down,50.56,98.0,0
WIX,SPY,LONG,85.76,76.5588,70.4978,up,48.49,97.0,4
CERT,SPY,LONG,8.41,7.2276,7.5251,up,47.86,96.0,1
ANGO,SPY,LONG,15.78,12.1283,14.4567,up,41.94,95.0,0
U,SPY,LONG,43.49,31.9806,40.9765,up,39.56,95.0,0
RDNT,SPY,LONG,75.36,66.133,68.201,up,36.98,94.0,0
AMGN,SPY,LONG,436.99,350.8856,412.6714,up,32.12,93.0,2
TOST,SPY,LONG,35.17,30.1988,33.2702,up,31.69,92.0,0
EXLS,SPY,LONG,38.18,33.5533,34.694,up,26.86,91.0,6
DBX,SPY,LONG,35.88,27.5245,32.0325,up,25.64,90.0,5
NTNX,SPY,LONG,69.84,48.8348,62.8142,up,24.08,89.0,4
CRM,SPY,LONG,252.05,199.5274,207.1043,up,24.04,88.0,8
HOOD,SPY,LONG,109.76,95.5681,91.3705,up,22.72,87.0,0
LYFT,SPY,LONG,17.35,16.1469,15.6756,up,21.18,86.0,0
PLTR,SPY,LONG,185.93,151.408,158.2441,up,20.41,85.0,4
RTX,SPY,SHORT,212.08,190.892,222.7438,down,20.33,85.0,0
ABBV,SPY,LONG,258.15,224.772,247.8686,up,18.92,84.0,0
V,SPY,LONG,379.66,331.5518,363.2245,up,18.09,83.0,3
ARQT,SPY,SHORT,24.87,25.6163,27.9292,down,17.85,82.0,2
22UA.DE,^GDAXI,LONG,95.7,84.1505,85.1622,up,16.83,81.0,0
FIGR,SPY,LONG,38.02,36.9708,32.4061,up,16.7,80.0,0
ASAN,SPY,LONG,10.17,8.9039,8.3053,up,15.39,79.0,4
DLTR,SPY,LONG,127.0,116.3588,122.7186,up,14.32,78.0,0
FTNT,SPY,LONG,172.78,107.6923,146.2178,up,14.29,77.0,5
MTX.DE,^GDAXI,SHORT,358.6,343.392,381.7178,down,13.59,76.0,0
HIMS,SPY,SHORT,31.66,28.6663,34.2642,down,13.31,75.0,0
MSFT,SPY,LONG,505.06,429.3401,463.9114,up,12.88,75.0,5
KO,SPY,LONG,89.06,77.3192,87.318,up,12.54,74.0,0
CRSP,SPY,LONG,59.37,53.1398,52.2721,up,12.35,73.0,1
BC8.DE,^GDAXI,LONG,37.66,34.3715,34.2822,up,11.09,72.0,6
IOS.DE,^GDAXI,SIGNAL,35.12,27.3259,31.4954,up,10.74,71.0,0
MLB1.DE,^GDAXI,LONG,1663.0,1600.875,1558.2223,up,10.51,70.0,0
