ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
MU,SPY,LONG,975.41,444.1545,935.6566,up,145.1,100.0,0
AMD,SPY,LONG,517.82,278.1864,456.1043,up,120.48,99.0,0
DELL,SPY,LONG,393.6695,185.8295,363.2541,up,109.33,98.0,0
HIMS,SPY,LONG,36.8,32.6614,28.8927,up,75.45,97.0,4
EXTR,SPY,LONG,29.8,19.3967,28.0867,up,75.1,96.0,0
FTNT,SPY,LONG,156.25,93.1507,140.4818,up,73.36,95.0,3
2GB.DE,^GDAXI,SHORT,67.7506,41.2504,72.0707,down,57.0,95.0,0
HPE,SPY,SHORT,41.23,27.0563,50.9157,down,54.62,94.0,5
HOOD,SPY,LONG,112.73,102.3709,94.0942,up,48.58,93.0,4
MRNA,SPY,LONG,79.76,41.1189,62.0543,up,45.9,92.0,8
RKLB,SPY,SHORT,100.46,75.8772,111.6721,down,38.21,91.0,0
NOV.DE,^GDAXI,LONG,40.0687,30.7497,36.1481,up,30.89,90.0,5
QCOM,SPY,SHORT,176.25,166.9713,225.7851,down,29.31,89.0,4
CRNC,SPY,SHORT,10.71,10.0653,12.3547,down,27.84,88.0,0
CSCO,SPY,SHORT,112.27,84.1493,125.9732,down,26.41,87.0,0
IESC,SPY,LONG,654.0,496.4543,633.6282,up,22.45,86.0,0
ANGO,SPY,LONG,13.09,11.507,12.0957,up,21.68,85.0,1
IBKR,SPY,SHORT,91.33,73.3769,98.2139,down,20.96,85.0,0
QUBT,SPY,SHORT,9.05,11.5358,12.0798,down,20.41,84.0,3
LUV,SPY,LONG,50.25,39.9397,46.2807,up,20.0,83.0,1
ASML.AS,SPY,LONG,1575.9022,1131.1998,1507.3004,up,19.95,82.0,0
U,SPY,SHORT,29.32,32.4738,26.4016,up,19.94,81.0,2
GE,SPY,LONG,377.05,308.6162,349.3488,up,17.54,80.0,7
NTNX,SPY,SHORT,51.28,51.1359,52.6742,down,16.55,79.0,0
APH,SPY,LONG,164.59,138.3812,151.6628,up,15.13,78.0,0
ABBV,SPY,LONG,259.2249,218.194,233.3996,up,14.29,77.0,6
PTGX,SPY,LONG,131.62,90.3685,113.1768,up,13.59,76.0,7
RDNT,SPY,LONG,68.75,67.7942,58.2453,up,12.69,75.0,4
AIR.DE,^GDAXI,LONG,204.0,187.1668,186.3612,up,12.21,75.0,6
JBL,SPY,LONG,341.2263,267.7195,339.024,up,11.85,74.0,0
GFT.DE,^GDAXI,SHORT,21.15,18.4181,22.5425,down,11.83,73.0,0
CERT,SPY,SHORT,6.97,8.0836,5.6633,up,10.75,72.0,7
KTN.DE,^GDAXI,LONG,23.38,23.1473,22.2344,up,10.67,71.0,0
IOS.DE,^GDAXI,SHORT,28.72,27.92,29.1615,down,10.52,70.0,0
QQQ,SPY,SHORT,712.6,633.4921,749.0883,down,7.93,69.0,1
PUM.DE,^GDAXI,LONG,26.73,22.7755,25.8514,up,7.85,68.0,0
DBX,SPY,LONG,28.56,27.0303,25.7354,up,7.75,67.0,4
CRSP,SPY,LONG,60.08,55.5691,49.4881,up,7.62,66.0,5
MTX.DE,^GDAXI,LONG,373.8,345.655,337.3572,up,7.11,65.0,7
SMCI,SPY,SHORT,27.22,35.0174,36.8123,down,6.8,65.0,2
V,SPY,LONG,361.4585,327.2391,332.352,up,6.67,64.0,8
IBM,SPY,LONG,287.4579,269.5616,248.2503,up,5.74,63.0,0
ASAN,SPY,SHORT,7.34,10.0076,7.7921,down,5.12,62.0,0
ODD,SPY,SHORT,17.9,29.8042,13.8459,up,4.26,61.0,2
GOOG,SPY,SHORT,356.18,315.2213,374.0294,down,3.99,60.0,0
DLTR,SPY,LONG,124.05,110.2495,109.4697,up,3.3,59.0,4
22UA.DE,^GDAXI,LONG,85.15,85.1315,77.3729,up,2.87,58.0,2
SZG.DE,^GDAXI,SHORT,48.72,42.8665,51.6767,down,2.75,57.0,0
AMZN,SPY,SHORT,242.67,232.9826,253.4696,down,0.25,56.0,0
TSLA,SPY,SHORT,393.45,418.6078,371.1288,up,0.23,55.0,0
SPY,SPY,SHORT,744.78,688.7357,759.2122,down,0.0,55.0,0
BC8.DE,^GDAXI,SHORT,31.42,34.798,33.1563,down,-0.45,54.0,0
HLT,SPY,LONG,337.9661,299.0319,327.8477,up,-1.32,53.0,0
LYFT,SPY,SHORT,15.37,17.0738,13.0451,up,-1.65,52.0,3
KO,SPY,LONG,84.14,73.456,78.1774,up,-1.71,51.0,4
TOST,SPY,SHORT,28.82,31.1355,25.3196,up,-2.3,50.0,6
ARQT,SPY,LONG,25.81,24.4223,23.7662,up,-2.35,49.0,0
AMGN,SPY,LONG,371.9762,329.6827,341.5904,up,-2.39,48.0,7
FIGR,SPY,SHORT,33.91,38.8566,26.1016,up,-3.07,47.0,0
NVDA,SPY,SHORT,194.83,190.8196,214.1479,down,-3.75,46.0,2
RBC,SPY,LONG,604.56,509.1194,598.0013,up,-4.01,45.0,0
MLB1.DE,^GDAXI,SHORT,1549.4,1665.904,1403.2694,up,-4.42,45.0,0
DE,SPY,LONG,621.27,530.7399,572.2057,up,-5.13,44.0,1
AVGO,SPY,SHORT,360.45,360.1987,416.7578,down,-5.17,43.0,3
VERX,SPY,SHORT,12.85,17.0546,12.9074,down,-5.47,42.0,0
MSFT,SPY,SHORT,389.7563,442.9508,393.6438,down,-8.15,41.0,0
UBER,SPY,SHORT,74.43,81.1185,67.5498,up,-9.51,40.0,0
SIX2.DE,^GDAXI,SHORT,65.3,68.2023,70.5567,down,-9.72,39.0,0
HBH.DE,^GDAXI,SHORT,78.1514,81.2387,78.7363,down,-10.62,38.0,0
BIDU,SPY,SHORT,113.3,127.9271,102.4673,up,-10.84,37.0,0
WH,SPY,LONG,82.41,78.2887,78.8677,up,-11.24,36.0,0
8RMY.DE,^GDAXI,SIGNAL,10.104,10.0621,9.1529,up,-11.46,35.0,0
LRN,SPY,SHORT,90.44,91.1128,94.7871,down,-11.59,35.0,0
META,SPY,SHORT,582.9,645.4065,542.815,up,-11.81,34.0,0
MBB.DE,^GDAXI,SHORT,175.0,190.1438,186.3508,down,-12.09,33.0,0
RTX,SPY,LONG,198.5903,182.1459,182.1604,up,-12.18,32.0,5
KGX.DE,^GDAXI,SHORT,41.48,53.5647,37.5463,up,-12.23,31.0,2
HAG.DE,^GDAXI,SHORT,76.96,81.936,62.7544,up,-12.82,30.0,0
TIMA.DE,^GDAXI,SHORT,43.8,47.2209,45.9378,down,-14.01,29.0,0
DUK,SPY,LONG,128.4705,121.589,121.0037,up,-14.1,28.0,2
RZLV,SPY,SHORT,2.84,3.2691,2.4232,up,-14.66,27.0,0
ORCL,SPY,SHORT,139.7837,198.3803,171.1475,down,-14.95,26.0,8
ADN1.DE,^GDAXI,SHORT,52.3,73.9961,54.4331,down,-15.03,25.0,0
ST5.DE,^GDAXI,SHORT,19.48,21.3413,20.0819,down,-15.29,25.0,0
CSF.DE,^GDAXI,SIGNAL,241.5,241.4538,216.7569,up,-15.77,24.0,0
