ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,439.34,205.9064,363.2541,up,100.28,100.0,2
MU,SPY,SHORT,990.21,498.2386,1110.5031,down,85.32,99.0,0
FTNT,SPY,LONG,151.54,98.4792,145.362,up,73.4,98.0,0
EXTR,SPY,LONG,29.73,20.0821,28.3642,up,66.79,97.0,0
HPE,SPY,SHORT,47.64,28.6171,50.9157,down,63.46,96.0,0
AMD,SPY,LONG,539.69,304.0853,456.1043,up,57.8,95.0,0
PTGX,SPY,LONG,135.43,95.365,122.865,up,34.0,95.0,0
ASML.AS,SPY,LONG,1577.3004,1186.5172,1507.3004,up,28.41,94.0,0
ABBV,SPY,LONG,256.92,220.4578,237.6457,up,27.61,93.0,3
NTNX,SPY,LONG,52.63,49.5935,49.484,up,25.64,92.0,0
CSCO,SPY,SHORT,112.76,87.4759,122.0523,down,24.75,91.0,0
NOV.DE,^GDAXI,LONG,38.7231,31.1684,37.3302,up,22.3,90.0,0
2GB.DE,^GDAXI,SHORT,62.6195,43.6428,72.0707,down,20.59,89.0,1
GE,SPY,SHORT,349.0,312.6258,373.4939,down,19.32,88.0,0
ANGO,SPY,LONG,13.44,11.6805,12.492,up,17.71,87.0,0
RTX,SPY,LONG,208.4675,184.6865,189.5737,up,17.66,86.0,7
HOOD,SPY,LONG,101.58,100.9217,95.0614,up,17.52,85.0,0
MTX.DE,^GDAXI,SHORT,336.3,344.4686,365.395,down,16.65,85.0,0
DLTR,SPY,LONG,117.65,112.3385,115.2658,up,16.57,84.0,0
DBX,SPY,LONG,28.43,26.9415,27.8793,up,15.42,83.0,0
IBKR,SPY,SHORT,91.76,75.3237,98.2139,down,14.9,82.0,1
LUV,SPY,SHORT,44.71,41.0928,50.652,down,14.07,81.0,0
AIR.DE,^GDAXI,LONG,204.3,187.651,189.5442,up,13.66,80.0,0
MRNA,SPY,SHORT,57.02,44.0122,69.1365,down,13.6,79.0,1
ARQT,SPY,LONG,27.33,25.0901,25.458,up,13.21,78.0,0
QCOM,SPY,SHORT,171.11,167.9338,199.5164,down,10.81,77.0,3
CERT,SPY,SHORT,7.11,7.724,6.0112,up,10.46,76.0,2
V,SPY,LONG,350.948,328.2977,334.7131,up,10.3,75.0,0
IOS.DE,^GDAXI,LONG,30.12,27.2416,27.8536,up,10.03,75.0,0
SMCI,SPY,SHORT,31.2,33.5948,24.2094,up,8.55,74.0,0
