ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,437.65,219.5449,364.7623,up,73.22,100.0,0
HPE,SPY,LONG,52.43,29.8484,44.1246,up,66.11,99.0,0
CERT,SPY,LONG,8.13,7.4957,7.0566,up,54.25,98.0,2
U,SPY,LONG,40.81,31.4057,31.0719,up,47.65,97.0,7
DLTR,SPY,LONG,129.68,114.1595,118.0457,up,39.83,96.0,2
TOST,SPY,LONG,34.72,30.3324,31.0024,up,39.3,95.0,6
PTGX,SPY,LONG,146.18,98.5271,125.5769,up,37.01,95.0,4
APH,SPY,LONG,170.61,142.6382,149.3414,up,35.29,94.0,0
ANGO,SPY,LONG,15.11,11.846,13.5495,up,35.17,93.0,4
FTNT,SPY,LONG,160.11,102.1565,145.6367,up,34.47,92.0,0
ASAN,SPY,SHORT,8.68,9.2476,7.0206,up,32.68,91.0,0
NTNX,SPY,LONG,60.12,49.0971,55.0597,up,28.9,90.0,2
DBX,SPY,LONG,34.54,27.1319,30.6665,up,26.16,89.0,4
MTX.DE,^GDAXI,LONG,373.7,343.6278,344.0934,up,23.05,88.0,0
RTX,SPY,LONG,222.5108,187.5588,206.4058,up,21.29,87.0,7
BC8.DE,^GDAXI,LONG,37.06,34.3174,33.8447,up,21.08,86.0,0
GE,SPY,LONG,374.55,315.9611,351.5456,up,20.46,85.0,0
ARQT,SPY,LONG,26.43,25.4147,25.458,up,20.21,85.0,0
AMGN,SPY,LONG,402.4978,340.8209,368.7942,up,19.54,84.0,4
CSCO,SPY,SHORT,120.88,89.9022,122.0523,down,18.68,83.0,0
RDNT,SPY,LONG,68.16,66.3813,58.7031,up,17.71,82.0,0
GFT.DE,^GDAXI,LONG,24.95,18.9425,20.9774,up,17.24,81.0,3
MSFT,SPY,LONG,498.9207,431.087,441.4378,up,17.17,80.0,7
ABBV,SPY,SHORT,243.87,221.9423,265.6845,down,16.89,79.0,0
AIR.DE,^GDAXI,LONG,212.5,188.134,199.3731,up,16.17,78.0,0
CSF.DE,^GDAXI,LONG,264.1,239.2601,245.073,up,14.8,77.0,5
LUV,SPY,SHORT,46.94,41.7996,50.3163,down,13.67,76.0,0
HAG.DE,^GDAXI,LONG,90.36,79.0699,76.8281,up,13.38,75.0,5
LYFT,SPY,SHORT,16.3,16.3809,14.575,up,13.29,75.0,0
EXLS,SPY,LONG,34.66,33.8603,29.9402,up,10.58,74.0,3
V,SPY,LONG,369.7831,329.4102,344.1767,up,10.4,73.0,4
LMT,SPY,LONG,582.85,542.3121,536.4264,up,10.3,72.0,2
PLTR,SPY,LONG,155.92,152.3261,134.3808,up,9.68,71.0,4
8RMY.DE,^GDAXI,LONG,10.734,9.8829,10.08,up,9.66,70.0,5
ADN1.DE,^GDAXI,SHORT,61.4,68.8304,53.5036,up,9.39,69.0,3
