ticker,bench,last_bar,stale,close,rs_diff,rs_rank,days_in_trend,vs_ma_pct,stop,stop_dist_pct,strength,trend
AMD,SPY,2026-08-28,,465.58,-16.4,20.0,18,38.8,405.73,12.9,1,up
RBC,SPY,2026-08-28,,500.62,-16.6,19.0,40,-7.7,542.41,-8.3,3,down
ESLT,SPY,2026-08-28,,708.68,-16.8,18.0,7,-4.8,754.8,-6.5,5,down
SZG.DE,^GDAXI,2026-08-27,!,58.4,-17.9,17.0,1,22.2,50.51,13.5,4,up
BWXT,SPY,2026-08-28,,152.85,-19.4,16.0,44,-20.8,172.66,-13.0,2,down
DUE.DE,^GDAXI,2026-08-27,!,17.78,-19.8,15.0,47,-10.9,18.18,-2.2,0,down
TSLA,SPY,2026-08-28,,348.75,-20.0,15.0,10,-13.0,336.27,3.6,0,up
JBL,SPY,2026-08-28,,301.45,-22.7,14.0,8,3.9,340.87,-13.1,3,down
EXTR,SPY,2026-08-28,,22.58,-23.8,13.0,17,8.3,26.29,-16.4,1,down
SMCI,SPY,2026-08-28,,37.08,-24.1,12.0,12,18.3,32.87,11.4,0,up
2GB.DE,^GDAXI,2026-08-27,!,55.45,-24.5,11.0,23,18.4,60.38,-8.9,0,down
IBM,SPY,2026-08-28,,235.59,-24.6,10.0,14,-9.6,227.68,3.4,0,up
AVGO,SPY,2026-08-28,,368.79,-25.2,9.0,10,0.1,414.3,-12.3,0,down
BIDU,SPY,2026-08-28,,97.12,-29.1,8.0,30,-21.3,106.78,-9.9,0,down
QUBT,SPY,2026-08-28,,8.15,-29.5,7.0,6,-15.0,9.69,-18.9,2,down
CRNC,SPY,2026-08-28,,8.5,-33.0,6.0,31,-11.0,8.95,-5.3,0,down
XPEV,SPY,2026-08-28,,11.53,-36.2,5.0,27,-31.6,12.46,-8.1,1,down
QCOM,SPY,2026-08-28,,164.19,-36.4,5.0,44,-1.7,169.08,-3.0,1,down
ORCL,SPY,2026-08-28,,150.85,-36.5,4.0,2,-11.1,134.91,10.6,2,up
RKLB,SPY,2026-08-28,,64.39,-46.1,3.0,6,-18.6,84.2,-30.8,5,down
IESC,SPY,2026-08-28,,309.8,-57.6,2.0,6,-43.1,401.99,-29.8,6,down
EVTL,SPY,2026-08-28,,0.68,-75.3,1.0,90,-79.3,1.01,-48.5,6,down
