ticker,bench,last_bar,stale,close,rs_diff,rs_rank,days_in_trend,vs_ma_pct,stop,stop_dist_pct,strength,trend
MRNA,SPY,2026-08-31,,140.34,170.5,100.0,8,168.2,102.01,27.3,0,up
WIX,SPY,2026-08-31,,88.25,58.3,99.0,34,15.6,73.73,16.4,5,up
PTGX,SPY,2026-08-31,,147.75,52.9,98.0,54,41.4,142.47,3.6,0,up
CERT,SPY,2026-08-31,,8.29,46.1,97.0,64,14.7,7.53,9.2,0,up
RDNT,SPY,2026-08-31,,75.82,44.2,96.0,18,14.7,68.2,10.0,0,up
ANGO,SPY,2026-08-31,,16.13,42.1,95.0,70,32.8,14.53,9.9,3,up
U,SPY,2026-08-31,,42.1,42.1,95.0,104,31.7,40.98,2.7,0,up
ODD,SPY,2026-08-31,,14.4,38.5,94.0,16,-35.3,15.1,-4.9,0,down
CRM,SPY,2026-08-31,,257.54,35.2,93.0,30,29.0,223.56,13.2,8,up
TOST,SPY,2026-08-31,,34.09,34.0,92.0,62,13.0,33.27,2.4,0,up
PLTR,SPY,2026-08-31,,186.38,30.0,91.0,41,23.1,163.95,12.0,4,up
EXLS,SPY,2026-08-31,,38.08,27.3,90.0,31,13.5,35.32,7.2,5,up
NTNX,SPY,2026-08-31,,68.57,27.3,90.0,38,40.5,62.81,8.4,2,up
ASAN,SPY,2026-08-31,,10.26,26.8,88.0,23,15.4,8.47,17.4,4,up
AMGN,SPY,2026-08-31,,429.88,25.9,87.0,58,22.3,412.67,4.0,0,up
DBX,SPY,2026-08-31,,35.19,25.6,86.0,90,27.7,32.25,8.3,1,up
V,SPY,2026-08-31,,379.37,19.7,85.0,84,14.3,363.22,4.3,2,up
RTX,SPY,2026-08-31,,207.73,18.8,85.0,5,8.7,222.42,-7.1,0,down
LYFT,SPY,2026-08-31,,16.9,18.0,84.0,19,4.9,15.68,7.2,0,up
MSFT,SPY,2026-08-31,,507.29,17.2,83.0,33,18.1,476.52,6.1,3,up
HOOD,SPY,2026-08-31,,104.81,17.1,82.0,6,10.0,91.37,12.8,0,up
ABBV,SPY,2026-08-31,,256.42,17.0,81.0,7,14.0,247.87,3.3,0,up
FIGR,SPY,2026-08-31,,36.69,16.5,80.0,11,-0.7,32.41,11.7,0,up
FTNT,SPY,2026-08-31,,170.93,14.7,79.0,89,58.1,148.39,13.2,4,up
MLB1.DE,^GDAXI,2026-08-31,,1693.8,14.0,78.0,4,5.8,1561.64,7.8,0,up
RZLV,SPY,2026-08-31,,2.89,13.6,77.0,18,6.8,2.49,13.9,2,up
BC8.DE,^GDAXI,2026-08-31,,37.46,12.6,76.0,23,8.9,34.68,7.4,5,up
MTX.DE,^GDAXI,2026-08-31,,354.6,11.4,75.0,5,3.3,381.72,-7.6,0,down
KO,SPY,2026-08-31,,88.67,11.3,75.0,55,14.5,87.32,1.5,0,up
DLTR,SPY,2026-08-31,,126.59,10.6,74.0,64,8.7,122.72,3.1,0,up
ARQT,SPY,2026-08-31,,23.97,10.3,73.0,15,-6.4,26.89,-12.2,4,down
