ticker,entry_time,entry,shares,notional,stop,scale_out,half_done,risk_pct,risk_eur,capped,reason,exit_time,exit,R,pnl,mark
BKR,2026-08-31 09:30:00,63.78,27,1722.06,61.7912,66.7632,False,3.12,53.7,False,open,,,-0.08,-4.05,63.63
HNR1.DE,2026-08-31 10:00:00,258.8,10,2588.0,254.9468,264.5798,False,1.49,38.53,True,open,,,1.14,44.0,263.2
MU,2026-08-31 15:00:00,956.68,1,956.68,908.9509,1028.2737,False,4.99,47.73,False,open,,,0.04,1.81,958.49
GILD,2026-09-01 09:30:00,147.28,19,2798.32,144.8347,150.9479,True,1.66,46.46,True,open,,,1.55,71.99,151.19
DBK.DE,2026-09-02 15:00:00,34.76,72,2502.72,34.0003,35.8996,False,2.19,54.7,False,open,,,1.09,59.47,35.586
DB1.DE,2026-09-03 15:00:00,284.6,7,1992.2,277.4588,295.3117,False,2.51,49.99,False,open,,,-0.13,-6.3,283.7
