ticker,entry_time,entry,shares,notional,stop,scale_out,half_done,risk_pct,risk_eur,capped,reason,exit_time,exit,R,pnl,mark
BNR.DE,2026-08-31 09:00:00,62.22,45,2799.9,61.1301,63.8548,False,1.75,49.04,True,stop,2026-09-01 16:00:00,62.22,0.0,0.0,62.22
MUV2.DE,2026-08-31 10:00:00,520.4,5,2602.0,513.3521,530.972,False,1.35,35.24,True,stop,2026-09-02 15:00:00,520.4,0.0,0.0,520.4
