ticker,entry_time,entry,shares,notional,stop,scale_out,half_done,risk_pct,risk_eur,capped,reason,exit_time,exit,R,pnl,mark
ANGO,2026-08-31 10:00:00,16.07,110,1767.7,15.5663,16.8256,False,3.13,55.41,False,stop,2026-09-02 15:00:00,15.5663,-1.0,-55.41,15.5663
IOS.DE,2026-08-31 15:00:00,35.52,54,1918.08,34.4917,37.0625,False,2.9,55.53,False,stop,2026-09-01 10:00:00,34.4917,-1.0,-55.53,34.4917
GFT.DE,2026-09-01 09:00:00,26.9,31,833.9,25.1158,29.5763,False,6.63,55.31,False,stop,2026-09-02 12:00:00,25.1158,-1.0,-55.31,25.1158
